iter	RMSE
0	0.07737105559
1	0.07672775449
2	0.07611031043
3	0.07545956711
4	0.07482107808
5	0.07422908113
6	0.07363556613
7	0.07302008618
8	0.07244195604
9	0.07183758703
10	0.07126896762
11	0.07069298652
12	0.07011101785
13	0.06952399192
14	0.06897827115
15	0.06843300709
16	0.06792189593
17	0.06736596798
18	0.06681084127
19	0.06630733154
20	0.06578352854
21	0.06525703406
22	0.06475864428
23	0.0642579831
24	0.06374028585
25	0.06324606321
26	0.06272707651
27	0.06222099314
28	0.06172611233
29	0.06124600067
30	0.06075191472
31	0.06026367761
32	0.05978986095
33	0.05930029515
34	0.05881178324
35	0.05838277255
36	0.05793076699
37	0.05750028464
38	0.05705419863
39	0.05663438004
40	0.05618687476
41	0.0557350292
42	0.05530194911
43	0.05490332455
44	0.05447305512
45	0.05403354516
46	0.05362930992
47	0.05322724673
48	0.05281216007
49	0.05239537702
50	0.05199900532
51	0.05159399063
52	0.05119289188
53	0.05080291143
54	0.05039651572
55	0.05001442386
56	0.04963768868
57	0.04926341761
58	0.04889317499
59	0.04853521439
60	0.04817162618
61	0.04777823776
62	0.04741731457
63	0.04708434805
64	0.04672421474
65	0.04636242951
66	0.04601280793
67	0.0456835103
68	0.04533336546
69	0.04500751071
70	0.04467813077
71	0.04432939872
72	0.04399947472
73	0.0436661191
74	0.04334551377
75	0.04301963007
76	0.04268898996
77	0.04238155903
78	0.0420509296
79	0.0417498368
80	0.04145285379
81	0.04114927034
82	0.04084511789
83	0.04055987043
84	0.04025620048
85	0.03996871723
86	0.03966257663
87	0.03936881478
88	0.03905192873
89	0.03879086415
90	0.03849878104
91	0.03822708059
92	0.0379282446
93	0.03765852095
94	0.03740691885
95	0.03713409345
96	0.0368652047
97	0.03657753383
98	0.03630589837
99	0.03602903094
100	0.03577009482
101	0.03551919189
102	0.03529274445
103	0.03505592919
104	0.03480120815
105	0.03456884201
106	0.03431873571
107	0.03409541298
108	0.03385018847
109	0.03361824731
110	0.03338606408
111	0.03314476852
112	0.03292584886
113	0.03270465302
114	0.03249095674
115	0.03227456991
116	0.03203751093
117	0.03181605701
118	0.03158654065
119	0.03138440696
120	0.03116194033
121	0.03094510099
122	0.03075418837
123	0.03055612157
124	0.03034737433
125	0.03013464696
126	0.02992445758
127	0.02974054031
128	0.02954011278
129	0.0293389056
130	0.02913218778
131	0.02893145048
132	0.02873466666
133	0.02854960437
134	0.02836637284
135	0.02817157841
136	0.02799387236
137	0.02780724001
138	0.02762268788
139	0.02744828948
140	0.0272717662
141	0.02710789744
142	0.02693059373
143	0.02674928203
144	0.02656221715
145	0.0263844554
146	0.02620847318
147	0.02604935688
148	0.02589176224
149	0.02571133019
150	0.02554678542
151	0.02536881291
152	0.0252188647
153	0.02505595708
154	0.02490241861
155	0.02474603569
156	0.02458922849
157	0.02443268091
158	0.02427760753
159	0.02413357742
160	0.0239895204
161	0.02384007971
162	0.02370422194
163	0.02356369899
164	0.02342112839
165	0.02327813554
166	0.02313208995
167	0.02299652627
168	0.02285292874
169	0.02271800539
170	0.02258166338
171	0.02244797994
172	0.02231893921
173	0.02217533186
174	0.02203663396
175	0.02191448135
176	0.02179397757
177	0.02167544697
178	0.02154100635
179	0.02141233529
180	0.02130396648
181	0.02117557882
182	0.02106257088
183	0.02094818504
184	0.02081817383
185	0.02069193231
186	0.02058365418
187	0.02047311058
188	0.02034942949
