"Periodo(MMM DD, AAAA)","Tasa de interés Cero Cupón, Títulos de Tesorería (TES), pesos - 1 año","Tasa de interés Cero Cupón, Títulos de Tesorería (TES), pesos - 5 años","Tasa de interés Cero Cupón, Títulos de Tesorería (TES), pesos - 10 años","Tasa de interés Cero Cupón, Títulos de Tesorería (TES), UVR - 1 año","Tasa de interés Cero Cupón, Títulos de Tesorería (TES), UVR - 5 años","Tasa de interés Cero Cupón, Títulos de Tesorería (TES), UVR - 10 años"
"2003/01/02",10.75,15.42,14.69,2.77,6.93,7.68
"2003/01/03",10.46,15.44,14.47,,,
"2003/01/07",10.68,15.1,15.57,4.48,6.89,7.56
"2003/01/08",10.23,15.57,14.63,3.41,6.95,7.53
"2003/01/09",10.32,15.33,15.54,3.59,6.87,7.74
"2003/01/10",10.09,15.33,15.35,3.38,6.86,7.54
"2003/01/13",9.59,15.36,15.28,3.23,6.78,7.54
"2003/01/14",9.69,14.83,16.01,3.28,6.68,7.65
"2003/01/15",9.4,14.98,14.95,3.24,6.69,7.63
"2003/01/16",9.68,14.96,15.15,3.29,6.74,7.72
"2003/01/17",9.58,15.2,15.34,3.4,6.71,7.64
"2003/01/20",10.55,15.06,16.15,3.55,6.71,7.71
"2003/01/21",10.59,15.57,15.85,3.65,6.76,7.71
"2003/01/22",10.36,16.11,15.73,3.13,7.04,7.64
"2003/01/23",10.24,16.05,15.4,3.45,6.73,7.62
"2003/01/24",10.65,15.81,16.37,3.37,6.76,7.66
"2003/01/27",10.67,15.9,14.5,3.46,6.8,7.64
"2003/01/28",10.68,15.62,16.46,3.54,6.78,8.11
"2003/01/29",10.58,15.77,15.9,3.29,6.77,7.62
"2003/01/30",10.39,15.7,14.66,3.44,6.75,7.75
"2003/01/31",10.32,15.38,15.89,3.16,6.67,6.76
"2003/02/03",10.45,15.76,15.08,3.27,6.72,7.67
"2003/02/04",10.32,15.45,16.3,3.35,6.66,7.64
"2003/02/05",10.56,15.52,16.04,3.39,6.4,7.81
"2003/02/06",10.73,16.09,16.26,3.11,6.6,7.67
"2003/02/07",10.73,15.9,16.2,2.87,6.57,7.62
"2003/02/10",10.88,15.83,16.83,3.03,6.53,7.71
"2003/02/11",11.04,15.94,16.52,2.96,6.43,7.66
"2003/02/12",10.58,15.86,16.09,2.5,6.59,7.64
"2003/02/13",10.56,15.98,15.76,2.51,6.48,7.65
"2003/02/14",10.55,15.95,15.64,2.53,6.24,7.66
"2003/02/17",10.42,15.52,16.15,2.64,6.18,7.61
"2003/02/18",10.45,15.75,15.19,2.69,6.26,7.56
"2003/02/19",10.44,15.79,15.75,2.54,6.27,7.55
"2003/02/20",10.52,15.84,16.25,2.66,6.22,8.02
"2003/02/21",10.73,16,15.7,2.54,6.16,7.62
"2003/02/24",10.71,16.09,16.4,2.46,6.02,7.68
"2003/02/25",10.69,16.23,16.41,2.44,6.04,7.57
"2003/02/26",10.68,15.89,16.32,2.57,6.05,7.47
"2003/02/27",10.78,16.27,16.23,2.91,6.03,7.5
"2003/02/28",10.85,16.21,16.1,2.88,5.78,7.54
"2003/03/03",10.81,16.03,16.86,2.93,6.23,7.48
"2003/03/04",10.75,16.37,16.1,2.74,6.23,7.49
"2003/03/05",10.81,16.33,15.17,2.96,6.22,7.49
"2003/03/06",10.29,15.87,16.9,3.2,6.32,7.56
"2003/03/07",10.62,16.38,15.91,2.64,6.73,7.84
"2003/03/10",10.35,15.93,16.71,2.86,6.49,7.52
"2003/03/11",10.36,15.96,16.92,3.08,6.7,7.51
"2003/03/12",10.5,15.94,16.38,3.29,6.78,7.57
"2003/03/13",10.51,16.13,16.61,3.27,6.83,7.47
"2003/03/14",10.54,16.03,16.2,2.79,6.73,7.54
"2003/03/17",10.54,15.76,16.46,3.34,6.72,7.78
"2003/03/18",10.52,15.93,16.56,3.39,7.03,7.68
"2003/03/19",10.43,16.01,16.9,3.47,6.95,7.68
"2003/03/20",10.12,15.75,16.83,3.48,7,7.7
"2003/03/21",10.37,15.53,16.85,3.32,7.17,7.78
"2003/03/25",10.29,15.85,16.76,3.34,6.78,7.7
"2003/03/26",10.11,16.13,16.28,3.22,7.34,7.66
"2003/03/27",10.11,16.28,16.07,4.22,6.53,7.81
"2003/03/28",10.09,15.87,16.84,3.34,7.17,7.68
"2003/03/31",10.11,16.03,14.55,2.85,7.02,7.68
"2003/04/01",10.2,15.9,16.84,3.38,7.18,7.68
"2003/04/02",11.93,15.87,17.16,3.62,7.05,7.59
"2003/04/03",10.51,16.28,16.82,3.29,7.13,7.73
"2003/04/04",10.62,16.23,16.9,3.64,7.04,7.71
"2003/04/07",10.6,16.06,17.13,3.4,7.19,7.75
"2003/04/08",10.59,16.17,16.94,3.61,6.96,7.82
"2003/04/09",10.29,16.27,16.49,3.62,6.92,7.62
"2003/04/10",10.32,15.36,13,3.56,6.98,7.76
"2003/04/11",11.26,15.78,16.25,3.71,6.95,7.6
"2003/04/14",12.28,15.75,17.08,3.57,7.02,7.55
"2003/04/15",10.26,16,16.93,3.69,6.97,7.8
"2003/04/16",10.09,16.1,17.15,3.25,6.13,7.84
"2003/04/21",10.86,15.66,13.09,3.71,7.24,7.9
"2003/04/22",10.65,15.75,13.57,4.04,7.07,7.78
"2003/04/23",10.59,16.03,16.76,3.92,7.1,7.71
"2003/04/24",10.48,15.95,16.3,4.1,7.06,7.69
"2003/04/25",10.61,16.12,17.57,4.5,6.51,7.7
"2003/04/28",10.41,15.91,14.32,4.39,7.16,7.64
"2003/04/29",10.54,15.72,16.6,4.36,6.77,7.66
"2003/04/30",10.27,15.34,16.18,4.1,6.95,7.7
"2003/05/02",10.36,15.3,16.03,4.15,7,7.61
"2003/05/05",10.13,15.15,16.01,4.08,6.99,7.72
"2003/05/06",10.11,14.79,15.6,3.93,6.85,7.64
"2003/05/07",10.07,14.7,15.51,3.93,6.8,7.65
"2003/05/08",9.75,14.29,15.01,3.75,6.49,7.44
"2003/05/09",9.97,14.11,15,3.98,6.52,7.32
"2003/05/12",9.72,13.78,14.88,3.74,6.49,7.35
"2003/05/13",9.68,14.09,14.46,3.68,6.69,7.39
"2003/05/14",11.27,14.26,15.24,3.79,6.8,7.65
"2003/05/15",9.95,15.09,14.65,3.88,6.73,7.49
"2003/05/16",11.09,14.78,15.95,4.06,6.64,7.39
"2003/05/19",10.44,16.14,16.37,4.44,6.81,7.3
"2003/05/20",10.48,16.01,16.21,4.11,6.88,7.57
"2003/05/21",10.49,14.97,15.97,5.68,6.62,7.9
"2003/05/22",10.31,15.3,15.85,5.24,6.66,7.66
"2003/05/23",10.16,14.63,15.72,5.23,6.6,7.63
"2003/05/26",10.25,14.61,15.47,4.06,6.83,7.64
"2003/05/27",10.17,14.69,15.52,4.04,6.83,7.62
"2003/05/28",10.24,14.74,15.53,4.16,6.82,7.66
"2003/05/29",10.36,14.59,15.48,4.12,6.98,7.52
"2003/05/30",10.12,14.67,14.97,3.37,6.89,7.35
"2003/06/03",10.14,14.51,15.2,6.15,6.74,7.62
"2003/06/04",10.23,14.68,16.13,3.62,7.01,7.63
"2003/06/05",10.31,14.47,15.52,4.26,7.05,7.71
"2003/06/06",10.22,14.23,14.94,3.39,6.84,7.63
"2003/06/09",10.37,14.42,15.37,4.37,6.85,7.56
"2003/06/10",10.37,14.62,15.71,4.32,6.88,7.61
"2003/06/11",10.22,14.55,15.67,4.26,6.87,7.61
"2003/06/12",10.16,14.65,15.67,3.39,6.98,7.63
"2003/06/13",10.16,14.56,15.72,4.02,6.86,7.58
"2003/06/16",10.15,14.53,15.83,4.26,6.85,7.55
"2003/06/17",9.95,14.65,15.82,5.41,6.83,7.44
"2003/06/18",9.86,14.61,15.53,4.8,6.85,7.53
"2003/06/19",9.93,14.48,15.72,4.97,6.84,7.52
"2003/06/20",10.57,14.28,15.32,5.22,6.71,7.51
"2003/06/24",9.9,14.3,15.47,4.23,6.71,7.47
"2003/06/25",9.89,14.19,15.43,4.36,6.67,7.57
"2003/06/26",9.85,14.12,15.18,4,6.63,7.51
"2003/06/27",10.21,14.12,15.23,3.82,6.69,7.51
"2003/07/01",9.97,14.08,14.89,4.02,6.74,7.45
"2003/07/02",9.95,13.99,14.94,4.56,6.75,7.49
"2003/07/03",9.99,14.03,15.03,4.48,6.89,7.49
"2003/07/04",10.02,13.99,14.95,3.85,6.83,7.46
"2003/07/07",10.1,14.1,14.95,4.65,6.72,7.38
"2003/07/08",10.27,14.24,15.45,4.48,6.76,7.5
"2003/07/09",10.25,14.23,15.43,6.32,6.65,7.46
"2003/07/10",10.18,14.2,15.42,4.32,6.95,7.56
"2003/07/11",10.12,14.17,15.47,5.15,6.71,7.4
"2003/07/14",10.18,14.28,15.61,4.93,6.63,6.78
"2003/07/15",10.23,14.4,15.68,4.45,6.76,7.52
"2003/07/16",10.26,14.38,15.68,5.12,6.96,7.55
"2003/07/17",10.19,14.56,15.59,5.6,6.89,7.46
"2003/07/18",10.01,14.43,15.64,5.23,6.94,7.56
"2003/07/21",10.16,14.42,15.5,5.01,6.96,7.64
"2003/07/22",10.18,14.52,15.59,5.05,6.96,7.62
"2003/07/23",10.15,14.55,15.66,4.87,6.93,7.47
"2003/07/24",10.04,14.86,14.9,4.78,6.95,7.4
"2003/07/25",9.93,14.98,15.06,4.78,6.96,7.47
"2003/07/28",10.11,14.57,15.67,4.77,6.86,7.53
"2003/07/29",10.11,14.61,15.57,4.67,6.82,7.44
"2003/07/30",10.04,14.67,15.28,4.64,6.78,7.53
"2003/07/31",9.96,14.74,14.96,4.28,6.45,5.88
"2003/08/01",9.85,14.78,15.02,4.68,6.74,7.32
"2003/08/04",10.08,14.68,16.06,4.6,6.8,7.34
"2003/08/05",10.18,14.73,15.71,5.13,6.67,7.52
"2003/08/06",9.88,14.81,15.19,4.7,6.86,7.35
"2003/08/08",9.9,14.79,15.17,4.17,6.36,7.8
"2003/08/11",9.85,14.71,14.93,4.17,6.9,7.47
"2003/08/12",9.79,14.67,15.05,4.46,6.85,7.42
"2003/08/13",10.08,14.39,15.72,4.56,6.81,7.48
"2003/08/14",9.99,14.34,15.66,4.69,6.73,7.41
"2003/08/15",9.76,14.5,15.24,4.68,6.75,7.36
"2003/08/19",9.75,14.58,14.93,4.7,6.71,7.31
"2003/08/20",9.97,14.28,15.61,4.77,6.68,7.27
"2003/08/21",9.84,14.45,14.81,4.61,6.72,7.37
"2003/08/22",9.7,14.43,14.89,4.63,6.63,7.25
"2003/08/25",10.01,14.33,15.6,4.47,6.73,7.36
"2003/08/26",9.82,14.51,15.3,4.16,6.86,7.3
"2003/08/27",9.77,14.51,14.99,4.53,6.72,7.38
"2003/08/28",9.94,14.27,15.67,4.62,6.7,7.38
"2003/08/29",9.68,14.28,15.05,4.51,6.76,7.4
"2003/09/01",9.73,14.25,14.84,4.12,7.03,7.64
"2003/09/02",9.79,14.32,15.11,4.38,6.73,7.43
"2003/09/03",9.68,14.2,14.88,4.44,6.62,7.37
"2003/09/04",9.62,14.05,14.93,4.42,6.59,7.34
"2003/09/05",9.64,14.15,14.88,4.27,6.61,7.39
"2003/09/08",9.73,14.05,15.6,3.97,6.56,7.35
"2003/09/09",9.64,14.06,15.04,3.85,6.56,7.34
"2003/09/10",9.77,13.97,15.46,3.94,6.58,7.39
"2003/09/11",9.76,14.02,14.98,3.92,6.55,7.35
"2003/09/12",9.78,14,14.98,3.96,6.56,7.49
"2003/09/15",9.61,14.09,14.75,3.82,6.54,7.42
"2003/09/16",9.55,13.95,15.47,3.6,6.54,7.41
"2003/09/17",9.53,13.89,15.48,3.47,6.57,7.38
"2003/09/18",9.91,14.13,15.04,3.48,6.55,7.39
"2003/09/19",9.73,14.07,15.56,3.81,6.65,7.28
"2003/09/22",9.48,14.48,15.16,3.41,6.63,7.42
"2003/09/23",9.77,14.55,15.39,3.41,6.77,7.42
"2003/09/24",9.9,14.34,15.85,3.27,6.8,7.39
"2003/09/25",9.73,14.52,14.98,2.79,6.79,7.38
"2003/09/26",9.83,14.58,15.05,3.14,6.84,7.38
"2003/09/29",10.07,14.68,15.69,3.49,6.68,7.44
"2003/09/30",9.93,14.82,15.34,3.17,6.7,7.42
"2003/10/01",10.11,14.84,15.43,2.98,7.05,7.42
"2003/10/02",9.98,14.81,14.95,2.88,6.97,7.52
"2003/10/03",10.1,14.44,15.61,4.02,6.75,7.46
"2003/10/06",10.21,14.52,15.77,4.07,6.82,7.39
"2003/10/07",10.19,14.59,15.88,3.59,6.9,7.49
"2003/10/08",10.15,14.82,14.42,3.88,6.9,7.57
"2003/10/09",10.11,15.04,14.87,3.64,7,7.46
"2003/10/10",10.3,14.44,15.36,4.05,6.81,7.48
"2003/10/14",10.16,14.59,15.45,3.57,6.9,7.48
"2003/10/15",10.27,14.61,15.64,3.86,6.88,7.5
"2003/10/16",10.26,14.55,15.77,4.08,6.79,7.52
"2003/10/17",10.28,14.58,15.77,3.47,6.97,7.57
"2003/10/20",10.13,14.58,15.43,3.9,6.99,7.54
"2003/10/21",10.01,14.58,15.27,2.93,7.04,7.54
"2003/10/22",10.23,14.49,15.35,3.89,6.87,7.51
"2003/10/23",10.09,14.3,15.43,3.57,6.88,7.45
"2003/10/24",9.9,14.33,14.94,3.46,6.85,7.56
"2003/10/27",10.04,14.49,15.44,3.74,6.78,7.49
"2003/10/28",9.99,14.55,15.19,3.1,6.96,7.53
"2003/10/29",9.86,14.44,14.72,3.22,6.91,7.4
"2003/10/30",10.06,14.44,15.31,3.63,6.85,7.41
"2003/10/31",9.94,14.68,14.41,3.8,6.91,7.26
"2003/11/04",10,14.22,15.17,4.2,6.8,7.9
"2003/11/05",9.89,14.05,15.32,3.55,7.04,7.5
"2003/11/06",9.95,14.06,15.21,3.7,6.89,7.54
"2003/11/07",9.92,14.01,15.19,3.77,6.75,7.3
"2003/11/10",9.91,14.03,15.11,3.66,6.81,7.4
"2003/11/11",9.89,14.01,15.02,3.56,6.82,7.43
"2003/11/12",9.91,13.93,15,3.5,6.84,7.42
"2003/11/13",9.9,13.95,14.94,3.77,6.74,7.44
"2003/11/14",9.89,13.94,14.93,3.68,6.77,7.43
"2003/11/18",9.72,14.01,14.52,3.02,6.86,7.39
"2003/11/19",9.73,14.06,14.53,3.38,6.81,7.43
"2003/11/20",9.86,14.12,14.74,3.66,6.79,7.47
"2003/11/21",9.76,14.11,14.72,3.89,6.78,7.42
"2003/11/24",9.79,14.01,14.66,3.63,6.81,7.42
"2003/11/25",9.68,13.99,14.52,3.88,6.79,7.48
"2003/11/26",9.68,13.92,14.63,3.67,6.87,7.51
"2003/11/27",9.74,13.82,14.84,3.57,6.89,7.45
"2003/11/28",9.82,13.89,14.81,2.85,8.29,13.73
"2003/12/01",9.86,13.85,14.91,3.56,6.89,7.53
"2003/12/02",9.84,13.95,14.83,3.76,6.84,7.5
"2003/12/03",9.91,13.93,15,3.74,6.85,7.49
"2003/12/04",9.78,14.04,14.67,3.59,6.8,7.48
"2003/12/05",9.89,13.94,14.87,3.58,6.76,7.45
"2003/12/09",9.94,13.84,15.29,3.54,6.71,7.47
"2003/12/10",9.78,13.94,14.64,3.45,6.62,7.49
"2003/12/11",9.88,13.94,14.67,3.46,6.6,7.48
"2003/12/12",9.93,13.95,14.75,3.37,6.59,7.48
"2003/12/15",10.02,13.89,15.39,3.35,6.59,7.48
"2003/12/16",10.12,13.88,15.17,3.27,6.66,7.48
"2003/12/17",10.04,13.93,14.74,3.41,6.6,7.43
"2003/12/18",10.21,13.76,15.12,3.3,6.53,7.46
"2003/12/19",10.18,13.75,15.09,3.51,6.5,7.47
"2003/12/22",10.12,13.81,14.82,3.27,6.42,7.43
"2003/12/23",10.05,14.31,16.19,4.14,6.17,7.9
"2003/12/24",10.3,14,14.48,,,
"2003/12/26",10.18,13.92,14.72,3.92,6.97,9.4
"2003/12/29",10.19,13.71,14.97,3.46,6.54,7.66
"2003/12/30",10.26,13.93,14.77,3.52,6.74,8.9
"2004/01/02",9.91,13.67,14.87,4.2,6.27,7.75
"2004/01/05",9.9,13.57,14.31,3.18,6.32,7.43
"2004/01/06",9.87,13.52,14.65,3.29,6.08,7.3
"2004/01/07",9.75,13.4,14.65,2.5,6.12,7.21
"2004/01/08",9.78,13.34,14.68,2.12,5.9,7.27
"2004/01/09",9.79,13.47,14.66,2.12,5.92,7.31
"2004/01/13",9.75,13.43,14.64,2.13,5.98,7.28
"2004/01/14",9.62,13.3,14.69,2,5.74,7.31
"2004/01/15",9.59,13.23,14.68,1.94,5.77,7.29
"2004/01/16",9.69,13.39,14.87,2.1,6.03,7.44
"2004/01/19",9.77,13.59,14.98,2.37,5.87,7.41
"2004/01/20",9.72,13.48,14.99,2.02,5.91,7.39
"2004/01/21",9.69,13.56,14.82,2.08,5.94,7.31
"2004/01/22",9.65,13.65,15.27,2.73,5.99,7.29
"2004/01/23",9.7,13.71,14.83,2.1,5.96,7.29
"2004/01/26",9.76,13.67,15.1,2.25,6.16,7.35
"2004/01/27",9.64,13.48,14.87,2.16,6.01,7.36
"2004/01/28",9.63,13.41,14.77,2.17,5.95,7.35
"2004/01/29",9.66,13.55,15.01,2.11,5.97,7.3
"2004/01/30",10.15,13.47,14.46,2.24,5.95,7.46
"2004/02/02",10.97,13.13,13.3,2.11,5.99,7.4
"2004/02/03",9.56,13.62,14.66,2.15,6.05,7.36
"2004/02/04",9.58,13.45,14.88,2.11,5.99,7.34
"2004/02/05",9.52,13.41,14.92,2.08,5.94,7.3
"2004/02/06",9.39,13.6,14.5,2.15,5.82,7.19
"2004/02/09",9.33,13.51,14.46,2.02,5.91,7.41
"2004/02/10",9.36,13.49,14.63,2.06,5.93,7.34
"2004/02/11",9.43,13.34,14.94,2.06,5.95,7.36
"2004/02/12",9.35,13.27,14.92,2.05,5.92,7.33
"2004/02/13",9.32,13.25,14.84,2.02,5.89,7.34
"2004/02/16",9.28,13.29,14.61,2.98,5.26,6.97
"2004/02/17",9.28,13.27,14.48,2.12,5.89,7.35
"2004/02/18",9.19,13.19,14.53,2.09,5.95,7.33
"2004/02/19",9.15,13.07,14.52,2.15,5.9,7.33
"2004/02/20",9.16,12.96,14.59,2.24,5.81,7.43
"2004/02/23",9.01,12.77,14.44,2.02,6.02,7.62
"2004/02/24",9.04,12.65,14.37,2.29,5.77,7.39
"2004/02/25",9.01,12.72,14.57,2.12,5.96,7.41
"2004/02/26",9.04,12.62,14.3,2.08,5.84,7.26
"2004/02/27",8.97,12.47,14.38,2,5.78,7.3
"2004/03/01",9.09,12.59,14.31,2.18,5.68,7.16
"2004/03/02",9.07,12.58,14.28,2.21,5.65,7.12
"2004/03/03",9.02,12.44,14.18,2.07,5.79,7.1
"2004/03/04",8.97,12.42,14.16,2.16,5.74,7.06
"2004/03/05",8.89,12.25,13.96,2.39,5.72,7.06
"2004/03/08",8.91,12.15,14.03,2.3,5.83,7.18
"2004/03/09",9.04,12.08,13.95,2.4,5.92,7.11
"2004/03/10",9.28,12.2,14.3,2.38,6,7.34
"2004/03/11",8.89,12.23,14.05,2.16,6.09,7.42
"2004/03/12",8.9,12.2,14.07,2.34,6.03,7.42
"2004/03/15",8.86,12.09,13.96,2.22,6.08,7.26
"2004/03/16",8.88,12.05,13.82,2.37,6.01,7.24
"2004/03/17",8.91,11.93,13.61,2.33,5.99,7.21
"2004/03/18",8.91,11.93,13.58,2.32,6,7.3
"2004/03/19",8.92,11.86,13.49,2.35,6.02,7.32
"2004/03/23",8.92,11.94,13.62,2.35,5.94,7.37
"2004/03/24",8.9,11.8,13.44,2.46,6.03,7.27
"2004/03/25",8.94,11.77,13.39,2.53,6.02,7.27
"2004/03/26",8.91,11.7,13.28,2.56,6.02,7.24
"2004/03/29",8.94,11.75,13.41,2.7,5.98,7.21
"2004/03/30",8.95,11.8,13.37,2.97,5.85,7.29
"2004/03/31",8.95,11.75,13.27,2.91,6.01,7.15
"2004/04/01",8.92,11.65,13.17,2.78,5.96,7.06
"2004/04/02",8.94,11.53,13.38,2.94,5.88,7.05
"2004/04/05",8.89,11.58,13.51,2.92,5.86,6.94
"2004/04/06",8.86,11.38,13.82,3.03,5.86,6.82
"2004/04/07",8.74,11.28,13.78,2.92,5.89,6.8
"2004/04/12",8.74,11.28,13.6,2.92,5.8,6.79
"2004/04/13",8.77,11.18,13.8,2.93,5.79,6.84
"2004/04/14",8.81,11.22,13.86,2.68,5.99,6.9
"2004/04/15",8.87,11.37,14.15,3.19,6.04,7.18
"2004/04/16",8.89,11.66,14.56,2.92,6.09,7.14
"2004/04/19",8.83,11.7,14.2,2.76,6.11,7.1
"2004/04/20",9.1,12.31,14.46,3.13,6.19,7.31
"2004/04/21",9.09,12.56,13.88,3.45,6.07,7.21
"2004/04/22",8.95,12.29,13.87,2.96,6.19,7.11
"2004/04/23",9,12.28,14.14,3.27,6.16,6.98
"2004/04/26",8.92,11.91,14.13,3.3,6.07,7.09
"2004/04/27",8.98,12,14,3.49,6.09,7.18
"2004/04/28",9.22,12.36,13.95,3.41,6.22,7.41
"2004/04/29",9.38,12.72,14.3,3.57,6.43,7.5
"2004/04/30",10.71,13.05,12.77,3.1,6.41,7.62
"2004/05/03",9.45,13.17,14.47,3.58,6.61,7.6
"2004/05/04",9.49,13.2,14.74,4.32,6.48,7.71
"2004/05/05",9.61,13.19,14.89,3.56,7,7.67
"2004/05/06",9.98,14.03,15.46,5.53,7.11,7.65
"2004/05/07",10.22,14.31,15.78,4.25,7.03,7.9
"2004/05/10",10.58,14.46,15.62,3.35,7.68,7.84
"2004/05/11",11.14,14.18,15.41,4.57,7.17,8.51
"2004/05/12",10.33,14.15,15,4.56,7.5,7.53
"2004/05/13",10.29,14.41,15.79,5.07,7.58,8.19
"2004/05/14",10.04,13.88,15.3,4.97,7.47,8.31
"2004/05/17",9.81,13.74,15.04,5.21,7.16,7.81
"2004/05/18",9.68,13.77,15.17,5.1,7.16,7.72
"2004/05/19",9.57,14.06,14.92,4.35,7.34,7.94
"2004/05/20",10.21,14.05,15.37,4.95,7.32,8.14
"2004/05/21",9.76,14.39,14.91,4.7,7.57,8.08
"2004/05/25",9.82,14.03,15.51,3.12,7.47,7.95
"2004/05/26",9.36,14.28,14.7,4.4,7.4,8.1
"2004/05/27",9.46,13.83,15.28,4.4,7.47,7.92
"2004/05/28",9.36,13.93,14.62,4.58,7.44,8.02
"2004/05/31",9.29,13.89,14.49,4.7,7.31,8.07
"2004/06/01",9.46,14.07,14.5,3.93,6.94,7.99
"2004/06/02",9.4,14.01,14.51,4.55,7.4,8.01
"2004/06/03",9.3,13.93,14.57,4.64,7.39,7.94
"2004/06/04",9.3,13.77,14.43,4.57,7.28,7.96
"2004/06/07",9.3,13.67,14.24,4.41,7.31,7.86
"2004/06/08",9.34,13.78,14.52,4.28,7.43,7.93
"2004/06/09",9.4,14.13,14.56,4.38,7.39,8.02
"2004/06/10",9.49,14.3,14.88,4.88,7.37,8.07
"2004/06/11",9.31,14.39,14.69,4.28,7.4,7.93
"2004/06/15",9.36,14.34,14.82,4.64,7.42,7.58
"2004/06/16",9.46,14.14,14.77,4.57,7.3,8.04
"2004/06/17",9.36,14.15,14.7,6.29,6.9,8.33
"2004/06/18",9.39,14.13,14.73,4.08,7.41,7.98
"2004/06/22",9.92,13.97,15.49,4.38,7.46,7.89
"2004/06/23",9.86,13.97,15.51,4.53,7.39,8
"2004/06/24",9.84,13.9,15.44,3.21,7.58,7.97
"2004/06/25",9.86,13.95,15.43,4.57,7.43,7.97
"2004/06/28",9.35,14.24,14.67,4.22,7.48,7.98
"2004/06/29",9.81,14.01,15.57,4.63,7.24,8.05
"2004/06/30",9.95,13.77,15.27,4.6,7.3,8.04
"2004/07/01",9.29,14.03,14.36,4.08,7.53,8.22
"2004/07/02",9.29,13.98,14.33,3.89,7.32,7.96
"2004/07/06",9.34,14.07,14.43,4.02,7.31,7.95
"2004/07/07",9.79,13.95,15.45,3.82,7.32,7.75
"2004/07/08",9.79,13.92,15.4,3.69,7.25,7.97
"2004/07/09",9.73,13.87,15.35,3.57,7.15,7.96
"2004/07/12",9.79,13.92,15.42,3.69,7.11,8.01
"2004/07/13",9.4,14.13,14.91,3.65,7.09,8
"2004/07/14",9.77,13.94,15.4,3.52,7.09,7.96
"2004/07/15",9.71,13.78,15.22,3.48,7.02,7.96
"2004/07/16",9.36,13.94,14.64,3.53,7.02,7.97
"2004/07/19",9.78,13.95,14.93,3.58,7.01,7.96
"2004/07/21",9.59,13.98,15.25,3.47,7.09,7.98
"2004/07/22",9.76,14.03,15.33,3.37,7.14,7.88
"2004/07/23",9.74,14.12,14.97,3.82,7.42,7.78
"2004/07/26",9.79,14.03,15.51,3.61,7.04,8.07
"2004/07/27",9.52,14.35,15.2,3.73,7.09,8.03
"2004/07/28",9.83,14.06,15.52,3.67,7.16,8.04
"2004/07/29",9.79,14.03,15.47,3.55,7.08,8.12
"2004/07/30",9.73,14.05,15.52,3.65,7.1,8.05
"2004/08/02",9.7,14.06,15.57,3.53,7.13,8.11
"2004/08/03",9.62,14.09,15.75,3.52,7.19,8.06
"2004/08/04",9.63,14.08,15.73,3.34,7.18,8.08
"2004/08/05",9.62,14.05,15.67,3.9,6.8,7.98
"2004/08/06",9.61,14.04,15.64,3.65,7.17,8.12
"2004/08/09",9.34,14.2,15.06,3.59,7.17,7.95
"2004/08/10",9.22,14.17,14.96,3.47,7.07,8.11
"2004/08/11",9.62,13.95,15.52,3.38,7.1,7.88
"2004/08/12",9.51,14,15.68,3.64,7.16,8.05
"2004/08/13",9.42,13.96,15.67,3.2,7.13,7.05
"2004/08/17",9.31,13.87,15.64,3.22,7.18,8
"2004/08/18",9.34,13.84,15.53,3.63,7,8.04
"2004/08/19",9.48,13.78,15.41,3.7,6.97,8.02
"2004/08/20",9.42,13.76,15.45,3.37,6.96,7.94
"2004/08/23",9.23,13.62,15.33,3.46,6.83,7.92
"2004/08/24",9.11,13.45,15.3,3.47,6.8,7.78
"2004/08/25",9.14,13.35,15.2,3.42,6.67,7.65
"2004/08/26",9.2,13.31,14.97,3.43,6.7,7.69
"2004/08/27",9.19,13.43,15.2,3.36,6.77,7.8
"2004/08/30",9.15,13.31,15.16,3.39,6.69,7.71
"2004/08/31",9.1,13.27,15.13,3.25,6.51,7.55
"2004/09/01",9.13,13.26,15.08,3.13,6.58,7.59
"2004/09/02",9.2,13.41,15.26,2.7,6.61,7.65
"2004/09/03",9.17,13.39,15.14,3.39,6.66,7.67
"2004/09/06",9.01,13.42,15.72,3.34,6.7,7.68
"2004/09/07",9.1,13.35,15.29,3.39,6.66,7.62
"2004/09/08",9,13.24,15.14,3.42,6.53,7.6
"2004/09/09",8.89,13.02,14.9,3.33,6.41,7.46
"2004/09/10",8.98,13.1,14.98,3.23,6.43,7.53
"2004/09/13",8.91,12.92,14.61,3.16,6.39,7.39
"2004/09/14",8.75,12.88,14.58,2.95,6.31,7.41
"2004/09/15",8.53,13.18,14.43,2.98,6.44,7.47
"2004/09/16",8.67,13.02,14.7,3.18,6.32,7.41
"2004/09/17",8.62,12.93,14.47,4.79,6.12,7.53
"2004/09/20",8.71,13.06,14.82,5.28,6.28,7.46
"2004/09/21",8.62,13.29,14.71,3.02,6.39,7.45
"2004/09/22",8.76,13.2,14.94,3.04,6.37,7.52
"2004/09/23",8.84,13.11,14.82,3.01,6.35,7.42
"2004/09/24",9,13.28,15.03,2.87,6.38,7.5
"2004/09/27",8.92,13.28,15.06,2.9,6.35,7.44
"2004/09/28",8.93,13.1,14.69,2.5,6.27,7.4
"2004/09/29",8.9,13.13,14.88,2.72,6.24,7.37
"2004/09/30",8.96,13.06,14.65,2.77,6.2,7.36
"2004/10/01",8.91,13.11,14.77,2.87,6.16,7.34
"2004/10/04",8.82,13.25,15.36,2.89,6.09,7.29
"2004/10/05",8.92,13.08,14.88,2.74,6.05,7.31
