date,usdjpy_close_log_d1,japan_leading_lag1m_log_d1
2014-01-02,-0.004476411113209622,-1.184185268112577e-05
2014-01-03,0.0005725737345088078,-1.184185268112577e-05
2014-01-06,-0.005836499369683779,-1.184185268112577e-05
2014-01-07,0.003735457626486749,-1.184185268112577e-05
2014-01-08,0.0021964388336588314,-1.184185268112577e-05
2014-01-09,-9.539709046180178e-05,-1.184185268112577e-05
2014-01-10,-0.006700513247655415,-1.184185268112577e-05
2014-01-13,-0.01100928550836855,-1.184185268112577e-05
2014-01-14,0.011777334701270625,-1.184185268112577e-05
2014-01-15,0.003353296555376417,-1.184185268112577e-05
2014-01-16,-0.0020106282803959985,-1.184185268112577e-05
2014-01-17,-0.00047931746112528373,-1.184185268112577e-05
2014-01-20,-0.0012473016728620223,-1.184185268112577e-05
2014-01-21,0.0013431835464672304,-1.184185268112577e-05
2014-01-22,0.0020113985996852435,-1.184185268112577e-05
2014-01-23,-0.012129528765269626,-1.184185268112577e-05
2014-01-24,-0.009439081418156192,-1.184185268112577e-05
2014-01-27,0.002538815932568106,-1.184185268112577e-05
2014-01-28,0.003990467118244467,-1.184185268112577e-05
2014-01-29,-0.006529283050812573,-1.184185268112577e-05
2014-01-30,0.004097966511526607,-1.184185268112577e-05
2014-01-31,-0.006545229247299389,-1.184185268112577e-05
2014-02-01,0.0,-1.184185268112577e-05
2014-02-03,-0.010443444670984015,-1.184185268112577e-05
2014-02-04,0.006613715435733525,-1.184185268112577e-05
2014-02-05,-0.002068253064058112,-1.184185268112577e-05
2014-02-06,0.006387914208574763,-1.184185268112577e-05
2014-02-07,0.0024460655021840694,-1.184185268112577e-05
2014-02-10,-0.0008798944694392574,-1.184185268112577e-05
2014-02-11,0.0038072970283984375,-1.184185268112577e-05
2014-02-12,-0.0010723861617520924,-1.184185268112577e-05
2014-02-13,-0.0036155802322399566,-1.184185268112577e-05
2014-02-14,-0.003726956059790787,-1.184185268112577e-05
2014-02-17,0.0014728266200130236,-1.184185268112577e-05
2014-02-18,0.004210120283445917,-1.184185268112577e-05
2014-02-19,-0.0003908922164503892,-1.184185268112577e-05
2014-02-20,-0.0004888302389955967,-1.184185268112577e-05
2014-02-21,0.0025393118440177886,0.0
2014-02-24,-0.00048782868424446235,0.0
2014-02-25,-0.0024427194714924383,0.0
2014-02-26,0.001270958767165098,0.0
2014-02-27,-0.002347648539852365,0.0
2014-02-28,-0.0030405594510245493,0.0
2014-03-01,0.0,0.0
2014-03-03,-0.003641198728517203,0.0
2014-03-04,0.007562772381699112,0.0
2014-03-05,0.0009779951879771431,0.0
2014-03-06,0.0074016699424968024,0.0
2014-03-07,0.0018418889410645178,0.0
2014-03-10,0.0,0.0
2014-03-11,-0.0024242436115065047,0.0
2014-03-12,-0.0024301348532915767,0.0
2014-03-13,-0.008994097192770667,0.0
2014-03-14,-0.004823556135810314,0.0
2014-03-17,0.0041358995440488044,0.0
2014-03-18,-0.0033467892249392506,0.0
2014-03-19,0.008932574731790766,0.0
2014-03-20,0.0004884959307736025,0.01166455576493064
2014-03-21,-0.001466204260514914,0.0
2014-03-24,0.0,0.0
2014-03-25,0.0002934128829306104,0.0
2014-03-26,-0.0022517019646395298,0.0
2014-03-27,0.001273324037070367,0.0
2014-03-28,0.006147860300546704,0.0
2014-03-31,0.0038838771027922547,0.0
2014-04-01,0.004351406566286187,0.0
2014-04-02,0.0020241946282126833,0.0
2014-04-03,0.0005775895424333655,0.0
2014-04-04,-0.006081393326168083,0.0
2014-04-07,-0.0018413534300938394,0.0
2014-04-08,-0.012690525644044826,0.0
2014-04-09,0.001766784911886532,0.0
2014-04-10,-0.00461985389429298,0.0
2014-04-11,0.000886306621612043,0.0
