date,forecast,lower_95,upper_95
2025-03-28,0.0015917103253694437,-0.009537078786467045,0.012720499437205934
2025-03-31,8.080925344796222e-05,-0.011049275938155953,0.011210894445051876
2025-04-01,0.0005186253588007624,-0.010611460134690939,0.011648710852292462
2025-04-02,0.001728318196572768,-0.009401767296989253,0.012858403690134789
2025-04-03,0.0013447556955502012,-0.009785329798011836,0.012474841189112237
2025-04-04,0.0016115584304580348,-0.009783696888637809,0.013006813749553878
2025-04-07,8.050632601679264e-05,-0.011314810042191849,0.011475822694225434
2025-04-08,0.0005186299821654688,-0.010876686400263753,0.01191394636459469
2025-04-09,0.0017283181260096595,-0.009666998256422876,0.013123634508442193
2025-04-10,0.0013447556966271555,-0.01005056068580538,0.01274007207905969
2025-04-11,0.001611558430441598,-0.010042894631983604,0.0132660114928668
2025-04-14,8.05063260170435e-05,-0.011574006427781891,0.01173501907981598
2025-04-15,0.0005186299821654649,-0.011135882785537784,0.012173142749868714
2025-04-16,0.0017283181260096595,-0.009926194641696829,0.013382830893716146
2025-04-17,0.0013447556966271555,-0.010309757071079333,0.012999268464333642
2025-04-18,0.001611558430441598,-0.010296451839169796,0.013519568700052992
2025-04-21,8.05063260170435e-05,-0.011827562363966244,0.011988575016000333
2025-04-22,0.0005186299821654649,-0.011389438721426075,0.012426698685757005
2025-04-23,0.0017283181260096595,-0.01017975057758505,0.013636386829604368
2025-04-24,0.0013447556966271555,-0.010563313006967555,0.013252824400221864
2025-04-25,0.001611558430441598,-0.010544721468362505,0.013767838329245701
