"date";"Valor_Real";"Valor_Predicho";"Modelo";"Version";"RMSE";"Hyperparámetros";"Tipo_Mercado";"Periodo"
"07/02/2014";"0,003306";"0,003306";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"08/02/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"09/02/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"10/02/2014";"0,000807";"0,000807";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"11/02/2014";"-0,000587";"-0,000587";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"12/02/2014";"-0,003232";"-0,003232";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"13/02/2014";"0,00638";"0,00638";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"14/02/2014";"0,000804";"0,000804";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"15/02/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"16/02/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"17/02/2014";"0,001168";"0,001168";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"18/02/2014";"0,003714";"0,003714";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"19/02/2014";"-0,001819";"-0,001819";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"20/02/2014";"-0,00102";"-0,00102";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"21/02/2014";"0,001384";"0,001384";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"22/02/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"23/02/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"24/02/2014";"-0,000218";"-0,000218";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"25/02/2014";"0,000801";"0,000801";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"26/02/2014";"-0,004229";"-0,004229";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"27/02/2014";"0,001533";"0,001533";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"28/02/2014";"0,006834";"0,006834";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"01/03/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"02/03/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"03/03/2014";"-0,004939";"-0,004939";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"04/03/2014";"0,000582";"0,000582";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"05/03/2014";"-0,000728";"-0,000728";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"06/03/2014";"0,009134";"0,009134";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"07/03/2014";"0,001298";"0,001298";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"08/03/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"09/03/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"10/03/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"11/03/2014";"-0,001226";"-0,001226";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"12/03/2014";"0,00317";"0,00317";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"13/03/2014";"-0,002521";"-0,002521";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
