Modelo,Periodo,RMSE_medio,MAE_medio,R2_medio,SMAPE_medio,Tiempo_Entrenamiento
CatBoost,Training,0.12123623108070336,0.09469650166145183,-1.2536378714224066,8.374767032310956,671.2787179000006
CatBoost,Evaluacion,0.05643833201573251,0.05551827213603316,-23.92509101271922,5.291046450637444,671.2787179000006
CatBoost,Test,0.04087852181667718,0.03377044079311528,-3.180054702002551,3.17569966325221,671.2787179000006
LightGBM,Training,0.13137626103522826,0.10177931883465265,-1.646269584150756,9.093913320063345,24.442103000001225
LightGBM,Evaluacion,0.07086700823316551,0.07023032845224991,-38.28409441927037,6.741992229123143,24.442103000001225
LightGBM,Test,0.044340405228707164,0.0340002460396833,-3.9128982655058606,3.2089442062054494,24.442103000001225
XGBoost,Training,0.1312885817929613,0.1025778618013728,-1.6428809570736111,9.164245238068359,89.88321790000191
XGBoost,Evaluacion,0.0673504899800387,0.06627559923171995,-34.55930968711979,6.350269777847105,89.88321790000191
XGBoost,Test,0.04340922792965496,0.032960745111630295,-3.713787307272946,3.113697420737669,89.88321790000191
MLP,Training,0.6187947739699906,0.5156370508022637,-58.839025503856114,62.89544683705919,307.51661260000037
MLP,Evaluacion,0.6160352806473272,0.5689377950874813,-2974.7449450269387,77.75996606174249,307.51661260000037
MLP,Test,0.49657106315338806,0.4413824179962689,-615.4122598663613,55.93470519560743,307.51661260000037
SVM,Training,0.1266463697191728,0.10203486197684765,-1.4591379157956779,9.058578039183871,2.145418399999471
SVM,Evaluacion,0.027474415371395913,0.02503999999999993,-4.90450783350372,2.348950996211012,2.145418399999471
SVM,Test,0.03408471336516096,0.02997296296296293,-1.9030281248933318,2.802174312825194,2.145418399999471
