date,forecast,lower_95,upper_95
2025-03-28,-1.0226299698099989e-05,-0.00807963030264131,0.00805917770324511
2025-03-31,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-01,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-02,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-03,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-04,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-07,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-08,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-09,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-10,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-11,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-14,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-15,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-16,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-17,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-18,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-21,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-22,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-23,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-24,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
2025-04-25,-6.04488493049569e-05,-0.00813061923335391,0.008009721534743995
