Modelo,Periodo,RMSE_medio,MAE_medio,R2_medio,SMAPE_medio,Tiempo_Entrenamiento
CatBoost,Training,5.804138627310071e-06,4.638066640595868e-06,0.9999999819350084,0.1753681938489982,6530.440000300005
CatBoost,Evaluacion,0.045787856803619895,0.038123043608832216,0.044737996920725324,150.51773607462655,6530.440000300005
CatBoost,Test,0.04320421835444232,0.031376915972078874,0.006909051613518735,120.19563973106393,6530.440000300005
LightGBM,Training,0.0001446512434551764,0.00010865828764140736,0.999988779646019,1.645085554531667,25.35567119999905
LightGBM,Evaluacion,0.06740300687881828,0.05244076637203014,-1.070047988867179,148.85928043955371,25.35567119999905
LightGBM,Test,0.05104077179939925,0.039898824485642935,-0.38602538513982565,154.01365316097807,25.35567119999905
XGBoost,Training,0.00045806076285853967,0.00036510270472999356,0.9998874855245585,4.606623063452323,35.88248269999167
XGBoost,Evaluacion,0.06214417897853874,0.0497991021059977,-0.7596357664488559,145.5041852760415,35.88248269999167
XGBoost,Test,0.04252254877554545,0.03150005961103868,0.03799950662691853,130.68026273127,35.88248269999167
MLP,Training,0.05951394983143198,0.03874720903100084,-0.8993270996673997,109.36033192446766,63.46985880000284
MLP,Evaluacion,0.21159291526921314,0.17547142880884875,-19.39971574567124,158.38242369395329,63.46985880000284
MLP,Test,0.26459945058859846,0.19562758288777812,-36.24899802540806,154.61813205843163,63.46985880000284
SVM,Training,0.013314764983203914,0.011252298341260847,0.9049331232733736,68.07093245873499,3.810713700018823
SVM,Evaluacion,0.046302073486097814,0.037076706849906084,0.023161537647396924,120.86120581042732,3.810713700018823
SVM,Test,0.04159875941563042,0.031061776785588965,0.07934381131117253,126.61081341130804,3.810713700018823
LSTM,Training,0.02802647783243817,0.021287026715087476,0.5787894309127165,100.14153888120207,842.984586800012
LSTM,Evaluacion,0.0797255643778135,0.06621677717178646,-1.8961234899020256,151.90303305867818,842.984586800012
LSTM,Test,0.07912509189076501,0.06682984533110406,-2.3309274503385065,172.93850152238204,842.984586800012
TTS,Training,0.04322053957127125,0.028230402860094258,-0.0017113265768262664,120.77204022937218,1228.3600587999972
TTS,Evaluacion,0.04695658798846413,0.03896577398578927,-0.00465034083541771,169.58149227443653,1228.3600587999972
TTS,Test,0.043442322926225005,0.032934163893051885,-0.00406724120862112,139.01021001409063,1228.3600587999972
