date,Model,Valor_Real,Valor_Predicho,Zone
1970-01-01,SVM,-0.02778833365000943,0.0,A
1970-01-01,SVM,-0.02731281710844513,0.0,A
1970-01-01,SVM,-0.008356811995606672,0.0,A
1970-01-01,SVM,0.007292266359623767,0.0,A
1970-01-01,SVM,0.006010590087296652,0.0,A
1970-01-01,SVM,0.003332698533612621,0.0,A
1970-01-01,SVM,0.001461436922496784,0.0,A
1970-01-01,SVM,0.0078672985781989,0.0,A
1970-01-01,SVM,0.002590917655926228,0.0,A
1970-01-01,SVM,-0.002353827323227531,0.0,A
1970-01-01,SVM,0.002655790571943317,0.0,A
1970-01-01,SVM,-4.756695048302451e-05,0.0,A
1970-01-01,SVM,-0.01037354270758994,0.0,A
1970-01-01,SVM,0.004860031104199081,0.0,A
1970-01-01,SVM,0.01458969511899566,0.0,A
1970-01-01,SVM,0.01501877346683345,0.0,A
1970-01-01,SVM,0.01531201848998442,0.0,A
1970-01-01,SVM,0.01300077041602465,0.0,A
1970-01-01,SVM,0.01411446249033244,0.0,A
1970-01-01,SVM,0.005765627252198202,0.0,A
1970-01-01,SVM,0.02594420286314558,0.0,A
1970-01-01,SVM,0.01574611222151789,0.0,A
1970-01-01,SVM,0.0004815563902533793,0.0,A
1970-01-01,SVM,0.002190893503524416,0.0,A
1970-01-01,SVM,-0.01175968514391401,0.0,A
1970-01-01,SVM,-0.01010724115023265,0.0,A
1970-01-01,SVM,-0.01925340112036911,0.0,A
1970-01-01,SVM,-0.01650521959936047,0.0,A
1970-01-01,SVM,-0.01216933702955414,0.0,A
1970-01-01,SVM,-0.01052283880709692,0.0,A
1970-01-01,SVM,-0.0163655283322296,0.0,A
1970-01-01,SVM,-0.03163352678146691,0.0,A
1970-01-01,SVM,-0.05231523777467895,0.0,A
1970-01-01,SVM,-0.08434900367575926,0.0,A
1970-01-01,SVM,-0.1077775654500286,0.0,A
1970-01-01,SVM,-0.07972114198994584,0.0,A
1970-01-01,SVM,-0.05733662145499374,0.0,A
1970-01-01,SVM,-0.05461545774313148,0.0,A
1970-01-01,SVM,-0.05996186844613915,0.0,A
1970-01-01,SVM,-0.08574977308555876,0.0,A
1970-01-01,SVM,-0.07186398704638541,0.0,A
1970-01-01,SVM,-0.06359186024188901,0.0,A
1970-01-01,SVM,-0.07527916827108194,0.0,A
1970-01-01,SVM,-0.08696891930424855,0.0,A
1970-01-01,SVM,-0.05503574684516088,0.0,A
1970-01-01,SVM,-0.06907626671779876,0.0,A
1970-01-01,SVM,-0.06292598636843627,0.0,A
1970-01-01,SVM,-0.06239540999282811,0.0,A
1970-01-01,SVM,-0.07106164383561653,0.0,A
1970-01-01,SVM,-0.05665506223472749,0.0,A
1970-01-01,SVM,-0.040536641661858,0.0,A
1970-01-01,SVM,-0.02235103404234418,0.0,A
1970-01-01,SVM,-0.006545233142219331,0.0,A
1970-01-01,SVM,0.03898161842383274,0.0,A
1970-01-01,SVM,0.04021203683872354,0.0,A
1970-01-01,SVM,-0.0008760628703942119,0.0,A
1970-01-01,SVM,-0.02792171856920056,0.0,A
1970-01-01,SVM,-0.02896073206294947,0.0,A
1970-01-01,SVM,-0.04583713619308394,0.0,A
1970-01-01,SVM,-0.01551886299508831,0.0,A
1970-01-01,SVM,-0.01482887782851872,0.0,A
1970-01-01,SVM,-0.01399210701655473,0.0,A
1970-01-01,SVM,0.01571934207786807,0.0,A
1970-01-01,SVM,0.03424942744118264,0.0,A
1970-01-01,SVM,0.005331573067939521,0.0,A
1970-01-01,SVM,0.02770339855818738,0.0,A
1970-01-01,SVM,0.0312964196076424,0.0,A
1970-01-01,SVM,0.02748597654258034,0.0,A
1970-01-01,SVM,0.03302611367127506,0.0,A
1970-01-01,SVM,0.01294171174359238,0.0,A
1970-01-01,SVM,-0.0005512955445295953,0.0,A
1970-01-01,SVM,0.01693297156064721,0.0,A
1970-01-01,SVM,0.0383554647599591,0.0,A
1970-01-01,SVM,0.03390950686324357,0.0,A
1970-01-01,SVM,0.04534925618983876,0.0,A
1970-01-01,SVM,0.0413142149783372,0.0,A
1970-01-01,SVM,0.06226063554497463,0.0,A
1970-01-01,SVM,0.07450939781494315,0.0,A
1970-01-01,SVM,0.1006483154426612,0.0,A
1970-01-01,SVM,0.09649169364683408,0.0,A
1970-01-01,SVM,0.08869791666666682,0.0,A
1970-01-01,SVM,0.08607963405759445,0.0,A
1970-01-01,SVM,0.06559393256123802,0.0,A
1970-01-01,SVM,0.05893306492199302,0.0,A
1970-01-01,SVM,0.0656093742108188,0.0,A
1970-01-01,SVM,0.05336206032668622,0.0,A
1970-01-01,SVM,0.0429621535710738,0.0,A
1970-01-01,SVM,0.04183830463050264,0.0,A
1970-01-01,SVM,0.03028500619578689,0.0,A
1970-01-01,SVM,0.03892798323102253,0.0,A
1970-01-01,SVM,0.04051750075218141,0.0,A
1970-01-01,SVM,0.01091951183358852,0.0,A
1970-01-01,SVM,-0.004967783188234653,0.0,A
1970-01-01,SVM,0.00958843487240002,0.0,A
1970-01-01,SVM,0.009651368918652814,0.0,A
1970-01-01,SVM,0.03204715439100481,0.0,A
1970-01-01,SVM,0.01398294762484764,0.0,A
1970-01-01,SVM,0.006746337702390193,0.0,A
1970-01-01,SVM,0.007435303205870936,0.0,A
1970-01-01,SVM,0.01122997240911938,0.0,A
1970-01-01,SVM,-0.0006697603214850245,0.0,A
1970-01-01,SVM,-0.0002393031492294861,0.0,A
1970-01-01,SVM,0.005145715110127735,0.0,A
1970-01-01,SVM,-0.01126372320707181,0.0,A
1970-01-01,SVM,-0.003412645748412269,0.0,A
1970-01-01,SVM,-0.01084526471007952,0.0,A
1970-01-01,SVM,-0.02395352159626662,0.0,A
1970-01-01,SVM,-0.003572789634146312,0.0,A
1970-01-01,SVM,-0.0007216395650918583,0.0,A
1970-01-01,SVM,-0.00869481673632122,0.0,A
1970-01-01,SVM,-0.01320481927710848,0.0,A
1970-01-01,SVM,0.003030303030302939,0.0,A
1970-01-01,SVM,-0.005239742956005933,0.0,A
1970-01-01,SVM,-0.01524449639586978,0.0,A
1970-01-01,SVM,-0.003413968006242718,0.0,A
1970-01-01,SVM,-0.005039354962564802,0.0,A
1970-01-01,SVM,-0.01888333653661334,0.0,A
1970-01-01,SVM,-0.04006318207926474,0.0,A
1970-01-01,SVM,-0.03134285440429396,0.0,A
1970-01-01,SVM,-0.02398161887894301,0.0,A
1970-01-01,SVM,-0.01177653310354732,0.0,A
1970-01-01,SVM,-0.01335631193451103,0.0,A
1970-01-01,SVM,-0.01392277881441073,0.0,A
1970-01-01,SVM,-0.01148817535089408,0.0,A
1970-01-01,SVM,-0.01150955959288491,0.0,A
1970-01-01,SVM,-0.007742245732147102,0.0,A
1970-01-01,SVM,-0.002781030444964805,0.0,A
1970-01-01,SVM,-0.02285222546254229,0.0,A
1970-01-01,SVM,-0.03100476626065185,0.0,A
1970-01-01,SVM,-0.02272727272727271,0.0,A
1970-01-01,SVM,-0.02798398124633716,0.0,A
1970-01-01,SVM,-0.05316245979923984,0.0,A
1970-01-01,SVM,-0.04492148678195196,0.0,A
1970-01-01,SVM,-0.04856817844601613,0.0,A
