"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.01.2025","2.189,23","2.215,23","2.215,23","2.176,03","","-2,22%"
"08.01.2025","2.238,96","2.236,12","2.241,89","2.211,71","","-0,48%"
"07.01.2025","2.249,80","2.271,31","2.286,18","2.236,55","","-0,74%"
"06.01.2025","2.266,65","2.275,71","2.292,30","2.264,42","","-0,08%"
"03.01.2025","2.268,47","2.237,73","2.269,05","2.237,73","","1,65%"
"02.01.2025","2.231,67","2.241,82","2.261,75","2.219,92","","0,07%"
"31.12.2024","2.230,16","2.237,93","2.250,40","2.224,53","","0,11%"
"30.12.2024","2.227,78","2.230,83","2.237,92","2.202,67","","-0,75%"
"27.12.2024","2.244,59","2.268,97","2.273,80","2.227,17","","-1,56%"
"26.12.2024","2.280,19","2.248,80","2.281,83","2.243,80","","0,90%"
"24.12.2024","2.259,85","2.240,25","2.259,85","2.233,31","","1,00%"
"23.12.2024","2.237,44","2.239,09","2.241,91","2.219,42","","-0,22%"
"20.12.2024","2.242,37","2.201,71","2.264,48","2.194,90","","0,94%"
"19.12.2024","2.221,50","2.251,09","2.265,35","2.217,15","","-0,45%"
"18.12.2024","2.231,51","2.342,28","2.349,98","2.215,74","","-4,39%"
"17.12.2024","2.334,08","2.350,79","2.354,56","2.329,26","","-1,18%"
"16.12.2024","2.361,99","2.344,87","2.370,43","2.339,74","","0,64%"
"13.12.2024","2.346,90","2.357,80","2.361,84","2.336,28","","-0,60%"
"12.12.2024","2.361,08","2.387,38","2.391,86","2.360,59","","-1,38%"
"11.12.2024","2.394,16","2.399,05","2.407,74","2.386,37","","0,48%"
"10.12.2024","2.382,77","2.392,43","2.402,66","2.378,61","","-0,42%"
"09.12.2024","2.392,84","2.418,83","2.428,16","2.392,70","","-0,67%"
"06.12.2024","2.408,99","2.408,09","2.414,18","2.401,77","","0,54%"
"05.12.2024","2.396,17","2.425,04","2.425,81","2.395,16","","-1,25%"
"04.12.2024","2.426,56","2.419,10","2.430,03","2.412,74","","0,42%"
"03.12.2024","2.416,35","2.433,91","2.435,31","2.412,85","","-0,73%"
"02.12.2024","2.434,14","2.437,21","2.442,61","2.420,71","","-0,02%"
"29.11.2024","2.434,73","2.433,00","2.445,64","2.433,00","","0,35%"
"27.11.2024","2.426,19","2.430,13","2.449,86","2.424,51","","0,08%"
"26.11.2024","2.424,31","2.439,02","2.439,02","2.415,92","","-0,73%"
"25.11.2024","2.442,03","2.419,08","2.466,49","2.419,08","","1,47%"
"22.11.2024","2.406,67","2.366,44","2.409,22","2.366,44","","1,80%"
"21.11.2024","2.364,02","2.331,46","2.372,25","2.331,46","","1,65%"
"20.11.2024","2.325,53","2.323,31","2.325,88","2.303,79","","0,03%"
"19.11.2024","2.324,83","2.295,78","2.325,06","2.284,20","","0,80%"
"18.11.2024","2.306,34","2.306,52","2.322,07","2.301,87","","0,11%"
"15.11.2024","2.303,84","2.339,96","2.346,45","2.297,52","","-1,42%"
"14.11.2024","2.336,94","2.374,14","2.379,59","2.333,27","","-1,37%"
"13.11.2024","2.369,37","2.401,85","2.414,55","2.368,47","","-0,94%"
"12.11.2024","2.391,85","2.428,14","2.432,40","2.387,81","","-1,77%"
"11.11.2024","2.434,98","2.411,70","2.441,72","2.411,70","","1,47%"
"08.11.2024","2.399,64","2.384,08","2.401,91","2.376,42","","0,71%"
"07.11.2024","2.382,69","2.391,26","2.402,36","2.378,17","","-0,43%"
"06.11.2024","2.392,92","2.300,98","2.393,85","2.300,98","","5,84%"
"05.11.2024","2.260,84","2.216,62","2.260,92","2.212,27","","1,88%"
"04.11.2024","2.219,03","2.206,56","2.233,19","2.200,30","","0,40%"
"01.11.2024","2.210,13","2.202,18","2.227,35","2.202,18","","0,61%"
"31.10.2024","2.196,65","2.231,37","2.232,16","2.196,65","","-1,63%"
"30.10.2024","2.233,04","2.232,66","2.260,48","2.229,79","","-0,23%"
"29.10.2024","2.238,09","2.236,51","2.238,09","2.221,75","","-0,27%"
"28.10.2024","2.244,07","2.217,67","2.247,38","2.217,67","","1,63%"
"25.10.2024","2.207,99","2.225,77","2.236,69","2.207,24","","-0,49%"
"24.10.2024","2.218,92","2.216,99","2.227,00","2.206,35","","0,23%"
"23.10.2024","2.213,84","2.224,65","2.226,41","2.195,47","","-0,79%"
"22.10.2024","2.231,53","2.235,77","2.235,77","2.225,06","","-0,37%"
"21.10.2024","2.239,71","2.275,33","2.275,60","2.238,30","","-1,60%"
"18.10.2024","2.276,09","2.283,76","2.287,15","2.275,49","","-0,21%"
"17.10.2024","2.280,85","2.287,41","2.288,64","2.272,01","","-0,25%"
"16.10.2024","2.286,68","2.260,14","2.289,49","2.260,14","","1,64%"
"15.10.2024","2.249,82","2.246,52","2.272,16","2.243,71","","0,05%"
"14.10.2024","2.248,64","2.233,70","2.250,23","2.228,25","","0,64%"
"11.10.2024","2.234,41","2.188,63","2.234,96","2.188,63","","2,10%"
"10.10.2024","2.188,42","2.186,56","2.188,42","2.170,61","","-0,55%"
"09.10.2024","2.200,59","2.194,24","2.213,14","2.190,46","","0,26%"
"08.10.2024","2.194,98","2.194,05","2.201,91","2.188,24","","0,09%"
"07.10.2024","2.193,09","2.206,09","2.206,09","2.181,24","","-0,89%"
"04.10.2024","2.212,80","2.211,14","2.214,86","2.196,12","","1,50%"
"03.10.2024","2.180,15","2.181,75","2.189,39","2.173,30","","-0,68%"
"02.10.2024","2.195,00","2.189,28","2.204,51","2.184,74","","-0,09%"
"01.10.2024","2.197,03","2.223,12","2.223,57","2.186,85","","-1,48%"
"30.09.2024","2.229,97","2.216,43","2.234,13","2.209,88","","0,24%"
"27.09.2024","2.224,70","2.229,95","2.243,65","2.218,79","","0,67%"
"26.09.2024","2.209,87","2.223,23","2.227,89","2.206,33","","0,57%"
"25.09.2024","2.197,45","2.223,89","2.224,09","2.196,89","","-1,19%"
"24.09.2024","2.223,99","2.228,75","2.230,38","2.212,88","","0,17%"
"23.09.2024","2.220,28","2.230,98","2.238,41","2.215,26","","-0,34%"
"20.09.2024","2.227,89","2.249,13","2.249,13","2.227,19","","-1,10%"
"19.09.2024","2.252,71","2.233,28","2.258,78","2.233,28","","2,10%"
"18.09.2024","2.206,34","2.206,51","2.259,25","2.197,85","","0,04%"
"17.09.2024","2.205,48","2.199,17","2.229,00","2.199,17","","0,74%"
"16.09.2024","2.189,17","2.186,13","2.192,12","2.178,40","","0,31%"
"13.09.2024","2.182,49","2.143,28","2.183,54","2.143,28","","2,49%"
"12.09.2024","2.129,43","2.109,09","2.138,50","2.102,36","","1,22%"
"11.09.2024","2.103,85","2.090,86","2.105,36","2.058,68","","0,31%"
"10.09.2024","2.097,44","2.099,88","2.101,85","2.072,89","","-0,02%"
"09.09.2024","2.097,78","2.093,09","2.115,08","2.093,09","","0,30%"
"06.09.2024","2.091,41","2.133,16","2.139,66","2.087,95","","-1,91%"
"05.09.2024","2.132,05","2.146,54","2.150,69","2.126,20","","-0,61%"
"04.09.2024","2.145,22","2.144,59","2.166,04","2.138,82","","-0,19%"
"03.09.2024","2.149,21","2.206,41","2.206,41","2.145,47","","-3,09%"
"30.08.2024","2.217,63","2.208,70","2.218,05","2.192,41","","0,67%"
"29.08.2024","2.202,98","2.199,11","2.223,01","2.192,43","","0,66%"
"28.08.2024","2.188,64","2.198,05","2.202,98","2.180,16","","-0,65%"
"27.08.2024","2.203,00","2.210,88","2.210,88","2.195,07","","-0,67%"
"26.08.2024","2.217,92","2.230,21","2.237,69","2.216,94","","-0,04%"
"23.08.2024","2.218,70","2.159,98","2.222,75","2.159,98","","3,19%"
"22.08.2024","2.150,03","2.170,73","2.174,88","2.147,87","","-0,95%"
"21.08.2024","2.170,56","2.146,61","2.171,27","2.146,61","","1,32%"
"20.08.2024","2.142,19","2.164,56","2.165,35","2.138,15","","-1,17%"
"19.08.2024","2.167,50","2.143,98","2.167,51","2.143,98","","1,19%"
"16.08.2024","2.141,92","2.131,17","2.149,84","2.130,71","","0,30%"
"15.08.2024","2.135,47","2.117,56","2.145,26","2.117,56","","2,45%"
"14.08.2024","2.084,32","2.103,84","2.104,71","2.077,27","","-0,52%"
"13.08.2024","2.095,19","2.073,77","2.098,70","2.068,96","","1,61%"
"12.08.2024","2.062,08","2.083,05","2.085,03","2.058,12","","-0,91%"
"09.08.2024","2.080,92","2.085,50","2.086,76","2.068,92","","-0,17%"
"08.08.2024","2.084,42","2.056,90","2.084,89","2.054,57","","2,42%"
"07.08.2024","2.035,11","2.088,11","2.094,80","2.033,96","","-1,41%"
"06.08.2024","2.064,30","2.045,20","2.087,04","2.035,52","","1,23%"
"05.08.2024","2.039,16","2.021,86","2.061,74","1.993,27","","-3,33%"
"02.08.2024","2.109,31","2.127,25","2.127,25","2.090,84","","-3,52%"
"01.08.2024","2.186,16","2.253,50","2.262,73","2.171,05","","-3,03%"
"31.07.2024","2.254,48","2.253,57","2.300,00","2.242,77","","0,51%"
"30.07.2024","2.243,14","2.242,44","2.255,86","2.231,02","","0,35%"
"29.07.2024","2.235,33","2.265,61","2.269,16","2.228,17","","-1,09%"
"26.07.2024","2.260,07","2.247,82","2.267,91","2.238,67","","1,67%"
"25.07.2024","2.222,98","2.201,67","2.255,71","2.199,62","","1,26%"
"24.07.2024","2.195,37","2.232,84","2.246,85","2.195,37","","-2,13%"
"23.07.2024","2.243,27","2.210,65","2.253,93","2.208,41","","1,02%"
"22.07.2024","2.220,65","2.191,23","2.223,09","2.176,48","","1,66%"
"19.07.2024","2.184,35","2.233,97","2.261,16","2.179,95","","-0,63%"
"18.07.2024","2.198,29","2.233,97","2.261,16","2.189,63","","-1,85%"
"17.07.2024","2.239,67","2.246,44","2.278,13","2.236,25","","-1,06%"
"16.07.2024","2.263,67","2.198,43","2.265,21","2.198,43","","3,50%"
"15.07.2024","2.187,02","2.162,00","2.198,49","2.160,50","","1,80%"
"12.07.2024","2.148,27","2.139,23","2.163,60","2.139,23","","1,09%"
"11.07.2024","2.125,04","2.081,70","2.128,55","2.081,70","","3,57%"
"10.07.2024","2.051,75","2.037,08","2.051,75","2.032,18","","1,10%"
"09.07.2024","2.029,47","2.035,76","2.039,97","2.023,92","","-0,45%"
"08.07.2024","2.038,67","2.038,38","2.050,16","2.036,55","","0,59%"
"05.07.2024","2.026,73","2.031,88","2.032,51","2.019,06","","-0,49%"
"03.07.2024","2.036,62","2.038,41","2.049,40","2.035,56","","0,14%"
"02.07.2024","2.033,87","2.031,07","2.037,21","2.027,78","","0,19%"
"01.07.2024","2.030,07","2.050,60","2.053,35","2.024,41","","-0,86%"
"28.06.2024","2.047,69","2.050,56","2.057,28","2.033,70","","0,46%"
"27.06.2024","2.038,34","2.020,95","2.038,47","2.020,25","","1,00%"
"26.06.2024","2.018,12","2.014,18","2.020,39","2.010,36","","-0,21%"
"25.06.2024","2.022,35","2.029,66","2.029,66","2.017,65","","-0,42%"
"24.06.2024","2.030,81","2.023,23","2.043,10","2.023,23","","0,43%"
"21.06.2024","2.022,03","2.016,35","2.022,26","2.006,85","","0,23%"
"20.06.2024","2.017,39","2.021,91","2.033,28","2.012,51","","-0,39%"
"18.06.2024","2.025,23","2.022,09","2.033,55","2.020,82","","0,16%"
"17.06.2024","2.022,01","2.002,57","2.024,91","1.993,23","","0,79%"
"14.06.2024","2.006,16","2.020,19","2.020,19","1.999,02","","-1,61%"
"13.06.2024","2.038,91","2.053,53","2.053,57","2.025,64","","-0,88%"
"12.06.2024","2.057,10","2.065,79","2.088,53","2.052,17","","1,62%"
"11.06.2024","2.024,35","2.019,12","2.027,53","2.006,07","","-0,36%"
"10.06.2024","2.031,61","2.012,22","2.033,65","2.008,30","","0,25%"
"07.06.2024","2.026,55","2.035,12","2.043,46","2.023,14","","-1,12%"
"06.06.2024","2.049,44","2.058,48","2.060,45","2.046,53","","-0,70%"
"05.06.2024","2.063,87","2.044,15","2.063,87","2.036,34","","1,47%"
"04.06.2024","2.033,94","2.050,39","2.050,39","2.032,14","","-1,25%"
"03.06.2024","2.059,68","2.082,40","2.088,15","2.048,06","","-0,50%"
"31.05.2024","2.070,13","2.061,23","2.073,67","2.047,40","","0,66%"
"30.05.2024","2.056,60","2.043,73","2.063,19","2.043,73","","1,00%"
"29.05.2024","2.036,19","2.050,46","2.050,46","2.036,13","","-1,48%"
"28.05.2024","2.066,85","2.075,72","2.086,28","2.057,69","","-0,14%"
"24.05.2024","2.069,67","2.061,00","2.070,23","2.056,35","","1,04%"
"23.05.2024","2.048,41","2.089,52","2.090,39","2.040,68","","-1,60%"
"22.05.2024","2.081,71","2.093,73","2.096,89","2.075,78","","-0,79%"
"21.05.2024","2.098,35","2.097,47","2.101,60","2.094,02","","-0,20%"
"20.05.2024","2.102,50","2.096,49","2.109,70","2.095,00","","0,32%"
"17.05.2024","2.095,72","2.103,67","2.104,13","2.090,44","","-0,03%"
"16.05.2024","2.096,25","2.107,09","2.107,36","2.095,82","","-0,63%"
"15.05.2024","2.109,46","2.105,42","2.112,32","2.095,43","","1,14%"
"14.05.2024","2.085,69","2.078,74","2.088,36","2.076,03","","1,14%"
"13.05.2024","2.062,12","2.072,14","2.081,45","2.062,12","","0,11%"
"10.05.2024","2.059,78","2.079,95","2.082,04","2.054,87","","-0,67%"
"09.05.2024","2.073,63","2.056,98","2.075,38","2.053,05","","0,90%"
"08.05.2024","2.055,14","2.050,78","2.055,64","2.043,85","","-0,46%"
"07.05.2024","2.064,65","2.062,16","2.077,81","2.062,16","","0,19%"
"06.05.2024","2.060,67","2.048,51","2.064,29","2.048,51","","1,23%"
"03.05.2024","2.035,72","2.044,22","2.054,85","2.030,82","","0,97%"
"02.05.2024","2.016,11","1.998,32","2.016,50","1.984,68","","1,81%"
"01.05.2024","1.980,23","1.973,37","2.017,70","1.968,03","","0,32%"
"30.04.2024","1.973,91","2.001,71","2.003,41","1.973,85","","-2,09%"
"29.04.2024","2.016,03","2.005,10","2.020,63","2.005,10","","0,70%"
"26.04.2024","2.002,00","1.984,53","2.005,01","1.984,42","","1,05%"
"25.04.2024","1.981,12","1.980,53","1.984,49","1.957,82","","-0,72%"
"24.04.2024","1.995,43","2.000,45","2.006,13","1.983,62","","-0,36%"
"23.04.2024","2.002,64","1.969,74","2.010,48","1.969,64","","1,79%"
"22.04.2024","1.967,47","1.953,24","1.978,43","1.947,85","","1,02%"
"19.04.2024","1.947,66","1.935,77","1.956,30","1.931,54","","0,24%"
"18.04.2024","1.942,96","1.951,24","1.971,39","1.941,32","","-0,26%"
"17.04.2024","1.947,95","1.977,29","1.982,84","1.947,75","","-0,99%"
"16.04.2024","1.967,48","1.965,85","1.976,21","1.953,01","","-0,42%"
"15.04.2024","1.975,71","2.010,91","2.016,66","1.968,11","","-1,37%"
"12.04.2024","2.003,17","2.031,08","2.032,94","1.994,83","","-1,93%"
"11.04.2024","2.042,60","2.036,23","2.045,04","2.021,50","","0,70%"
"10.04.2024","2.028,39","2.043,22","2.044,27","2.016,55","","-2,52%"
