,mean,std,cv,sign_changes,significant,stability_score
dxy_index_raw_log_d1,-0.001776898376576364,0.0003092575828762933,0.17404348327007585,0,True,0.8517572085274808
interest_rate_diff_log,0.0001465729598837063,0.0005046342345029841,3.44288765747359,8,False,0.08036719670930795
eu_consumer_confidence_raw_d1,-3.020970752181112e-05,0.0016814058158252127,55.65779856065319,9,False,0.0152304832315726
