Instrumento,Modelo,Observaciones,Fecha_Inicio,Fecha_Fin,MSE,RMSE,MAE,MAPE,R2,R2_adjusted,Hit_Direction,Amplitude_Score,Phase_Score,Weighted_Hit_Direction
EURUSD,ARIMA,252,2024-07-19,2025-03-27,1.5008411980158729e-05,0.0038740691759645606,0.002500464285714286,,-8.175495276097067e-05,-0.004082081972571983,15.139442231075698,9.875110285495481e-05,0.01359215009158074,0.0
EURUSD,SARIMAX_BASIC,252,2024-07-19,2025-03-27,8.82205375e-06,0.002970194227655828,0.0019040119047619047,,0.4121446687196898,0.40979324739456857,60.1593625498008,0.6621222948670618,0.1129246234293567,80.42082818392535
EURUSD,SARIMAX_EXTENDED,252,2024-07-19,2025-03-27,9.381396912698411e-06,0.0030629066118147336,0.002130769841269841,,0.37487297784981144,0.37237246976121074,56.573705179282875,0.6397772712471739,0.04063416100138497,74.80578996780403
SP500,ARIMA,252,2024-04-16,2025-03-27,7.211629072619046e-05,0.00849213110627659,0.006137472222222222,,-0.0006113416081692247,-0.004613786974601908,1.9920318725099602,0.0014247097031990785,0.013468464837534071,1.3368733512604927
SP500,SARIMAX_EXTENDED,252,2024-04-16,2025-03-27,2.913517890873016e-05,0.005397701261530705,0.003820638888888889,,0.5957502783033316,0.5941332794165449,88.04780876494024,0.9295492323294807,0.0537312816803036,96.12843180498338
USDJPY,ARIMA,252,2024-04-17,2025-03-27,4.360473731349206e-05,0.006603388320664783,0.004917432539682539,,-0.0013273490500949059,-0.00533265844629538,0.398406374501992,2.2014875604825512e-05,0.013845670484910396,0.20443893415029016
USDJPY,SARIMAX_BASIC,252,2024-04-17,2025-03-27,4.371650253968254e-05,0.006611845622795692,0.004938365079365079,,-0.0038938953602516424,-0.007909470941692698,50.99601593625498,0.04120004828154544,0.04542122444108056,50.140269186100994
USDJPY,SARIMAX_EXTENDED,252,2024-04-17,2025-03-27,4.1196201218253976e-05,0.006418426693376967,0.0047506785714285715,,0.05398161992722739,0.0501975464069363,51.39442231075697,0.1469510088137066,0.09585933647524732,57.058018603779594
