iter	RMSE
0	801.5650957
1	768.8245051
2	738.5547313
3	710.4406729
4	681.98221
5	655.0316712
6	631.5305065
7	606.3524401
8	583.1230064
9	560.8053394
10	539.3181004
11	518.0682875
12	497.2952807
13	478.7214722
14	463.4481471
15	447.4083804
16	431.7718282
17	416.1810116
18	400.5995765
19	386.3992126
20	372.1990544
21	358.771781
22	346.4851603
23	334.0126182
24	323.3696331
25	313.157438
26	303.8474145
27	294.2130224
28	285.1791114
29	276.4032121
30	267.9465884
31	259.7647549
32	253.1654426
33	244.9784102
34	237.5699224
35	231.0965099
36	224.8777107
37	219.1320137
38	213.9390949
39	208.9726671
40	203.4181146
41	198.5908445
42	194.199003
43	189.9632674
44	184.7332536
45	180.9526006
46	177.3298356
47	173.7814918
48	170.4549
49	167.4895385
50	163.8366097
51	160.7076106
52	157.7920063
53	154.9962603
54	152.4040466
55	150.3827734
56	148.3961175
57	145.9559233
58	143.7784516
59	141.9756553
60	140.3596318
61	138.3932264
62	136.2197296
63	134.5855056
64	132.7645619
65	131.211682
66	129.2806889
67	127.9361537
68	126.2489385
69	125.012751
70	123.7175562
71	122.5063895
72	121.279275
73	120.2856922
74	119.0607395
75	117.7568832
76	116.3053703
77	115.0835045
78	114.0036584
79	112.9568325
80	111.8836072
81	110.895402
82	109.533795
83	108.4117471
84	107.7902119
85	107.0488346
86	106.3683575
87	105.5683745
88	104.7136943
89	103.8071073
90	103.2176521
91	102.4973203
92	101.7337243
93	101.2825436
94	100.5243701
95	99.96903616
96	99.37500733
97	98.75406643
98	98.13372165
99	97.44333394
100	96.72454975
101	96.23229468
102	95.68564681
103	95.15187075
104	94.32927054
105	93.94328995
106	93.23387098
107	92.77018939
108	92.05388402
109	91.57871067
110	91.02445357
111	90.44811403
112	90.04856017
113	89.6040809
114	89.21245469
115	88.87417422
116	88.28918948
117	87.75231456
118	87.31461267
119	86.93375153
120	86.66254981
121	86.3592737
122	85.73026348
123	85.43866416
124	84.93558582
125	84.60326843
126	84.34616855
127	83.90900429
128	83.57789851
129	83.28166833
130	82.8438813
131	82.49633393
132	82.05981003
133	81.78942876
134	81.41613947
135	81.14114351
136	80.56896503
137	80.22254628
138	79.78893056
139	79.36062645
140	78.99271782
141	78.56714286
142	78.28387402
143	77.99284426
144	77.6346691
145	77.31880964
146	77.11258044
147	76.80476324
148	76.54094494
149	76.26071399
150	75.97929917
151	75.60427336
152	75.30366908
153	74.890554
154	74.72356355
155	74.52089497
156	74.24929357
157	73.86162331
158	73.45421491
159	73.13379771
160	72.7918596
161	72.58460219
162	72.27255127
163	71.88540119
164	71.65245979
165	71.44189355
166	71.1663686
167	70.9893036
168	70.79783846
169	70.64092343
170	70.43135196
171	70.22789188
172	69.99861522
173	69.8388231
174	69.49009191
175	69.37442709
176	69.24369717
177	69.12272916
178	68.90212297
179	68.65736493
180	68.54487591
181	68.38903969
182	68.18120226
183	67.95681725
184	67.76343724
185	67.52750104
186	67.28979969
187	67.11355794
188	66.89788843
189	66.64922949
190	66.49029436
191	66.222985
192	66.10137411
193	65.89900079
194	65.68472341
195	65.44467941
196	65.23836222
197	64.99305294
198	64.7963526
199	64.58516988
200	64.39347845
201	64.22170084
202	63.99393769
203	63.76711068
204	63.57168592
205	63.3765376
206	63.18917656
207	63.01033155
208	62.82437058
209	62.64606175
210	62.49607286
211	62.31532166
212	62.11580993
213	61.89646967
214	61.75274279
215	61.63890602
216	61.43618547
217	61.2426393
218	61.09631492
219	61.02859533
220	60.91312151
221	60.73372903
222	60.6500079
223	60.46335055
224	60.4077647
225	60.28525135
226	60.12372873
227	59.89960252
228	59.73782552
229	59.64327174
230	59.48137625
231	59.31853622
232	59.14408803
233	59.03939239
234	58.94828484
235	58.84997035
236	58.68839147
237	58.56439427
238	58.49255073
239	58.31457561
240	58.17555247
241	58.10302071
242	57.96028298
243	57.74557816
244	57.61540939
245	57.45040841
246	57.30580954
247	57.15220079
248	57.04792983
249	56.82992375
250	56.62821178
251	56.48532258
252	56.35755693
253	56.22128721
254	56.12896789
255	55.9917603
256	55.87386449
257	55.69250659
258	55.52798501
259	55.42739717
260	55.29125976
261	55.17809598
262	54.89032112
263	54.71467117
264	54.57979865
265	54.43987182
266	54.30317639
267	54.20701272
268	54.04080795
269	53.96480283
270	53.80025594
271	53.39824579
272	53.26384981
273	53.1483172
274	53.05729006
275	52.80626478
276	52.63225771
277	52.47592318
278	52.23810782
279	52.1136594
280	52.01104345
281	51.66295713
282	51.54074977
283	51.41624946
284	51.09364068
285	50.96201109
286	50.67539717
287	50.56002078
288	50.46344342
289	50.31530919
290	50.20039052
291	50.05770166
292	49.96282143
293	49.82788074
294	49.71054064
295	49.56869137
296	49.43139697
297	49.33240058
298	49.22426868
299	49.12566067
300	49.00161588
301	48.89798741
302	48.80363843
303	48.67709556
304	48.557705
305	48.49792893
306	48.38737436
307	48.28029441
308	48.21482553
309	48.09997611
310	47.96980742
311	47.90768752
312	47.85974475
313	47.74185228
314	47.57709369
315	47.47032676
316	47.37322953
317	47.21248379
318	47.13994033
319	46.8957216
320	46.80528016
321	46.64240973
322	46.53810764
323	46.45897895
324	46.39207689
325	46.28204886
326	46.13008068
327	45.99700417
328	45.89857001
329	45.81084995
330	45.68343466
331	45.52917915
332	45.46979797
333	45.33583661
334	45.28966425
335	45.23357225
336	45.15328154
337	45.077742
338	44.90955032
339	44.80202794
340	44.72345713
341	44.595373
342	44.5228236
343	44.47778393
344	44.3943163
345	44.28483642
346	44.15168242
347	44.08741701
348	44.00048766
349	43.87707034
350	43.79044836
351	43.66632053
352	43.61444802
353	43.51281747
354	43.41269728
355	43.31136887
356	43.21103907
357	43.08647251
358	43.01911703
359	42.96033139
360	42.87200007
361	42.78970343
362	42.71959741
363	42.53522116
364	42.45090771
365	42.35875645
366	42.25019895
367	42.2187504
368	42.16625256
369	42.13821695
370	42.05705193
371	41.99060982
372	41.94018307
373	41.88218033
374	41.8409425
375	41.72097473
376	41.67005961
377	41.5953779
378	41.55189119
379	41.48671601
380	41.42271673
381	41.34363811
382	41.19400448
383	41.12337451
384	41.04073158
385	40.96399504
386	40.88118574
387	40.84918164
388	40.76405483
389	40.73110036
390	40.67437931
391	40.5905807
392	40.47864538
393	40.43974281
394	40.37869897
395	40.31971368
396	40.22537441
397	40.19024627
398	40.13672299
399	40.07820706
400	39.99562132
401	39.90523702
402	39.81996144
403	39.76088355
404	39.70796926
405	39.65248112
406	39.59457361
407	39.45264948
408	39.38967736
409	39.32606122
410	39.26344205
411	39.15548392
412	39.12262134
413	39.06144508
414	39.00694927
415	38.89423044
416	38.85742542
417	38.81603995
418	38.74176425
419	38.68165145
420	38.60388594
421	38.55941704
422	38.49652396
423	38.44431933
424	38.37979073
425	38.2908839
426	38.21645772
427	38.14873078
428	38.08742336
429	38.05397653
430	38.02503955
431	38.0080353
432	37.9300812
433	37.8508642
434	37.79537148
435	37.67199546
436	37.62416873
437	37.57744321
438	37.55876154
439	37.48575297
440	37.42483987
441	37.37594053
442	37.26833988
443	37.23091258
444	37.16953594
445	37.09602709
446	37.02734808
447	36.96597944
448	36.90105682
449	36.82206599
450	36.76994541
451	36.71585931
452	36.6803985
453	36.62664242
454	36.57574769
455	36.52202775
456	36.47070387
457	36.38071025
458	36.27125063
459	36.22881334
460	36.16881918
461	36.13872193
462	36.08444747
463	35.98859559
464	35.90282674
465	35.81362323
466	35.73948194
467	35.69561168
468	35.63526928
469	35.55842242
470	35.51019228
471	35.46519411
472	35.41249308
473	35.37305143
474	35.30367264
475	35.264834
476	35.2151329
477	35.15580056
478	35.10117727
479	35.06427071
480	35.03769426
481	34.99461291
482	34.8885149
483	34.85111961
484	34.80371808
485	34.76423534
486	34.70077422
487	34.67739921
488	34.57036968
489	34.50278756
490	34.43935012
491	34.37875873
492	34.31099015
493	34.27316347
494	34.20948961
495	34.16377418
496	34.11621391
497	34.07002422
498	34.02185417
499	33.97268008
500	33.92799564
501	33.8953186
502	33.85218411
503	33.79238081
504	33.7437021
505	33.69458734
506	33.61762026
507	33.54911537
508	33.492661
509	33.43252147
510	33.34850909
511	33.32355574
512	33.29451199
513	33.26311584
514	33.23190847
515	33.20945844
516	33.17742953
517	33.13356092
518	33.10761035
519	33.06384923
520	33.00566239
521	32.94957995
522	32.91069301
523	32.86381781
524	32.81452326
525	32.77915172
526	32.74747717
527	32.69737769
528	32.65436248
529	32.59729799
530	32.51743891
531	32.46223434
532	32.41902462
533	32.37420644
534	32.32391305
535	32.25783209
536	32.21141344
537	32.12344112
538	32.08735819
539	32.04656289
540	32.01938942
541	31.93638857
542	31.87854076
543	31.83183134
544	31.79126799
545	31.74627827
546	31.71032748
547	31.66161947
548	31.60552654
549	31.53568051
550	31.51017928
551	31.48197037
552	31.42972864
553	31.38614007
554	31.36783427
555	31.32218142
556	31.26622626
557	31.19026239
558	31.16167527
559	31.10976372
560	31.07552411
561	31.03102273
562	30.99473531
563	30.96992272
564	30.92764493
565	30.861596
566	30.84737218
567	30.79485466
568	30.77652758
569	30.74846044
570	30.71587194
571	30.67078162
572	30.62898894
573	30.5739489
574	30.52237705
575	30.48430426
576	30.44943279
577	30.40752878
578	30.37964518
579	30.35188122
580	30.27693844
581	30.23524608
582	30.18124123
583	30.16547012
584	30.12470283
585	30.09858557
586	30.06947055
587	30.00642178
588	29.96673726
589	29.92793375
590	29.88125767
591	29.83921999
592	29.79854005
593	29.78167634
594	29.75175391
595	29.73267389
596	29.69606342
597	29.67502861
598	29.64517214
599	29.62639149
600	29.54816035
601	29.52388178
602	29.4989243
603	29.47517786
604	29.4406932
605	29.3718183
606	29.34556957
607	29.29870107
608	29.25784773
609	29.22154262
610	29.19991749
611	29.15166251
612	29.10557739
613	29.05728474
614	29.03615082
615	28.98368979
616	28.93519528
617	28.89149818
618	28.84271888
619	28.80429563
620	28.75954245
621	28.73746094
622	28.70623353
623	28.68643689
624	28.66314533
625	28.6214476
626	28.58811705
627	28.56619559
628	28.53269579
629	28.49220749
630	28.44363421
631	28.38661726
632	28.35114972
633	28.3378635
634	28.3095104
635	28.286672
636	28.24611944
637	28.2210008
638	28.18894702
639	28.16724429
640	28.15245235
641	28.10974138
642	28.07466887
643	28.03521448
644	28.00778152
645	27.97181887
646	27.94343697
647	27.89682411
648	27.8531542
649	27.80821115
650	27.77407174
651	27.7373422
652	27.69975096
