feature,performance_drift
momentum_PRICE_Platinum_Spot_commodities,momentum_PRICE_Platinum_Spot_commodities
momentum_PRICE_Palladium_Futures_commodities,momentum_PRICE_Palladium_Futures_commodities
momentum_PRICE_PHP_ZAR_exchange_rate,momentum_PRICE_PHP_ZAR_exchange_rate
momentum_PRICE_Nikkei_225_index_pricing,momentum_PRICE_Nikkei_225_index_pricing
momentum_PRICE_Nickel_Futures_commodities,momentum_PRICE_Nickel_Futures_commodities
momentum_PRICE_NOK_AUD_exchange_rate,momentum_PRICE_NOK_AUD_exchange_rate
momentum_PRICE_MXN_USD_Spot_exchange_rate,momentum_PRICE_MXN_USD_Spot_exchange_rate
momentum_PRICE_Lead_Futures_commodities,momentum_PRICE_Lead_Futures_commodities
momentum_PRICE_JPY_EUR_exchange_rate,momentum_PRICE_JPY_EUR_exchange_rate
momentum_PRICE_Iron_ore_fines_62%_Fe_CFR_Futures_commodities,momentum_PRICE_Iron_ore_fines_62%_Fe_CFR_Futures_commodities
momentum_PRICE_Gold_Spot_commodities,momentum_PRICE_Gold_Spot_commodities
momentum_PRICE_EUR_GBP_Cross_exchange_rate,momentum_PRICE_EUR_GBP_Cross_exchange_rate
momentum_PRICE_DAX_30_index_pricing,momentum_PRICE_DAX_30_index_pricing
momentum_PRICE_CrudeOil_WTI_commodities,momentum_PRICE_CrudeOil_WTI_commodities
momentum_PRICE_Copper_Futures_commodities,momentum_PRICE_Copper_Futures_commodities
momentum_PRICE_CNY_USD_Spot_exchange_rate,momentum_PRICE_CNY_USD_Spot_exchange_rate
momentum_PRICE_CAD_USD_Spot_exchange_rate,momentum_PRICE_CAD_USD_Spot_exchange_rate
momentum_PRICE_BRL_NZD_exchange_rate,momentum_PRICE_BRL_NZD_exchange_rate
momentum_PRICE_AUD_USD_Spot_exchange_rate,momentum_PRICE_AUD_USD_Spot_exchange_rate
log_diff_PRICE_Zinc_Futures_commodities,log_diff_PRICE_Zinc_Futures_commodities
log_diff_PRICE_VIX_VolatilityIndex_index_pricing,log_diff_PRICE_VIX_VolatilityIndex_index_pricing
log_diff_PRICE_USDCOP-US_Dollar_Colombian_Peso_exchange_rate,log_diff_PRICE_USDCOP-US_Dollar_Colombian_Peso_exchange_rate
log_diff_PRICE_UK_10Y_Bond_bond,log_diff_PRICE_UK_10Y_Bond_bond
log_diff_PRICE_Tin_Futures_commodities,log_diff_PRICE_Tin_Futures_commodities
log_diff_PRICE_Silver_Spot_commodities,log_diff_PRICE_Silver_Spot_commodities
log_diff_PRICE_Shanghai_Composite_index_pricing,log_diff_PRICE_Shanghai_Composite_index_pricing
log_diff_PRICE_Platinum_Spot_commodities,log_diff_PRICE_Platinum_Spot_commodities
log_diff_PRICE_Palladium_Futures_commodities,log_diff_PRICE_Palladium_Futures_commodities
log_diff_PRICE_PHP_ZAR_exchange_rate,log_diff_PRICE_PHP_ZAR_exchange_rate
log_diff_PRICE_Nikkei_225_index_pricing,log_diff_PRICE_Nikkei_225_index_pricing
log_diff_PRICE_Nickel_Futures_commodities,log_diff_PRICE_Nickel_Futures_commodities
log_diff_PRICE_NOK_AUD_exchange_rate,log_diff_PRICE_NOK_AUD_exchange_rate
log_diff_PRICE_MXN_USD_Spot_exchange_rate,log_diff_PRICE_MXN_USD_Spot_exchange_rate
log_diff_PRICE_Lead_Futures_commodities,log_diff_PRICE_Lead_Futures_commodities
log_diff_PRICE_Japan_10Y_Bond_bond,log_diff_PRICE_Japan_10Y_Bond_bond
log_diff_PRICE_JPY_USD_Spot_exchange_rate,log_diff_PRICE_JPY_USD_Spot_exchange_rate
log_diff_PRICE_JPY_EUR_exchange_rate,log_diff_PRICE_JPY_EUR_exchange_rate
