"PrediccionKey;FechaKey;ModeloKey;MercadoKey;ValorReal;ValorPredicho;ErrorAbsoluto;ErrorPorcentual;TipoPeriodo;";"onaEntrenamiento;EsPrediccionFutura;FechaReal;ModeloInfo;ValorReal_SP500;ValorPredicho_SP500"
"38;38;1;1;0.000577;0.000582;5,00E-06;0.866551;Training;";"ona A;False;9/03/2015;CATBOOST_Training;2080.6;2080.61"
"39;39;1;1;0.015703;0.015698;5,00E-06;0.031841;Training;";"ona A;False;10/03/2015;CATBOOST_Training;2076.3;2076.29"
"40;40;1;1;0.020439;0.020442;3,00E-06;0.014678;Training;";"ona A;False;11/03/2015;CATBOOST_Training;2081.9;2081.9"
"41;41;1;1;0.012246;0.012253;7,00E-06;0.057162;Training;";"ona A;False;12/03/2015;CATBOOST_Training;2091.2;2091.21"
"42;42;1;1;0.023717;0.023707;1,00E-05;0.042164;Training;";"ona A;False;13/03/2015;CATBOOST_Training;2102.1;2102.08"
"43;43;1;1;0.005382;0.005384;2,00E-06;0.037161;Training;";"ona A;False;16/03/2015;CATBOOST_Training;2092.4;2092.4"
"44;44;1;1;0.010365;0.010366;1,00E-06;0.009648;Training;";"ona A;False;17/03/2015;CATBOOST_Training;2095.8;2095.8"
"45;45;1;1;0.003382;0.003383;1,00E-06;0.029568;Training;";"ona A;False;18/03/2015;CATBOOST_Training;2106.6;2106.6"
"46;46;1;1;0.007514;0.007513;1,00E-06;0.013308;Training;";"ona A;False;19/03/2015;CATBOOST_Training;2105;2105.0"
"47;47;1;1;-0.01276;-0.012758;2,00E-06;0.015674;Training;";"ona A;False;20/03/2015;CATBOOST_Training;2081.2;2081.2"
"48;48;1;1;-0.001901;-0.001909;8,00E-06;0.420831;Training;";"ona A;False;23/03/2015;CATBOOST_Training;2100.4;2100.38"
"49;49;1;1;0.002773;0.002783;1,00E-05;0.36062;Training;";"ona A;False;24/03/2015;CATBOOST_Training;2097.3;2097.32"
"50;50;1;1;0.022755;0.022745;1,00E-05;0.043946;Training;";"ona A;False;25/03/2015;CATBOOST_Training;2108;2107.98"
"51;51;1;1;0.027575;0.02758;5,00E-06;0.018132;Training;";"ona A;False;26/03/2015;CATBOOST_Training;2112.9;2112.91"
"52;52;1;1;0.027511;0.02751;1,00E-06;0.003635;Training;";"ona A;False;27/03/2015;CATBOOST_Training;2117.7;2117.7"
"53;53;1;1;0.010881;0.010881;0.0;0.0;Training;";"ona A;False;30/03/2015;CATBOOST_Training;2108.9;2108.9"
"54;54;1;1;0.02268;0.02268;0.0;0.0;Training;";"ona A;False;31/03/2015;CATBOOST_Training;2114.8;2114.8"
"55;55;1;1;0.022867;0.022861;6,00E-06;0.026239;Training;";"ona A;False;1/04/2015;CATBOOST_Training;2106.8;2106.79"
"56;56;1;1;0.00895;0.008963;1.3e-05;0.145251;Training;";"ona A;False;2/04/2015;CATBOOST_Training;2085.5;2085.53"
"57;57;1;1;0.019981;0.01997;1.1e-05;0.055052;Training;";"ona A;False;3/04/2015;CATBOOST_Training;2108.3;2108.28"
"58;58;1;1;0.016293;0.016298;5,00E-06;0.030688;Training;";"ona A;False;6/04/2015;CATBOOST_Training;2114.5;2114.51"
"59;59;1;1;0.006357;0.006354;3,00E-06;0.047192;Training;";"ona A;False;7/04/2015;CATBOOST_Training;2089.5;2089.5"
"60;60;1;1;-0.000817;-0.000817;0.0;0.0;Training;";"ona A;False;8/04/2015;CATBOOST_Training;2080.2;2080.2"
"61;61;1;1;-0.00153;-0.001529;1,00E-06;0.065359;Training;";"ona A;False;9/04/2015;CATBOOST_Training;2088;2088.0"
"62;62;1;1;0.00666;0.006659;1,00E-06;0.015015;Training;";"ona A;False;10/04/2015;CATBOOST_Training;2116.1;2116.1"
"63;63;1;1;0.006165;0.006166;1,00E-06;0.016221;Training;";"ona A;False;13/04/2015;CATBOOST_Training;2105.3;2105.3"
"64;64;1;1;0.001575;0.001572;3,00E-06;0.190476;Training;";"ona A;False;14/04/2015;CATBOOST_Training;2099.1;2099.1"
"65;65;1;1;-0.003845;-0.003842;3,00E-06;0.078023;Training;";"ona A;False;15/04/2015;CATBOOST_Training;2098.5;2098.5"
"66;66;1;1;0.007648;0.007649;1,00E-06;0.013075;Training;";"ona A;False;16/04/2015;CATBOOST_Training;2121.1;2121.1"
"67;67;1;1;0.01994;0.01994;0.0;0.0;Training;";"ona A;False;17/04/2015;CATBOOST_Training;2122.7;2122.7"
"68;68;1;1;0.013712;0.013708;4,00E-06;0.029172;Training;";"ona A;False;20/04/2015;CATBOOST_Training;2129.2;2129.2"
