,mean,std,cv,sign_changes,significant,stability_score
vix_log_d1,-0.006165653585798172,0.002003411767187582,0.3249309646267179,0,True,0.7547563055722961
term_spread,-4.762261950515237e-05,0.001624068872013782,34.102888268001955,3,False,0.02624472961121375
cpi_yoy_lag1m_log_d1,0.264514065427736,0.4599112749521379,1.738702530651564,7,False,0.10268308297256261
wti_crude_raw_log_d1,0.0004463589225920632,0.00038261669004348357,0.857195119617145,2,False,0.2592557464656487
unemployment_lag1m_log_d1,0.018440655479959104,0.031314930086533084,1.6981462573586636,10,False,0.0787516523855199
norm_range,-0.0005444706219655523,0.00043268399594550066,0.7946874973409966,4,False,0.17257186008026648
pct_gap,0.0016060352708022038,0.0008686727664540298,0.5408802547780496,0,False,0.6489796964424347
