date,forecast,lower_95,upper_95
2025-03-28,-0.0005619481836748286,-0.012594181823194137,0.01147028545584448
2025-03-31,-0.0010733353553172122,-0.013125445882686129,0.010978775172051702
2025-04-01,0.0005080517948999614,-0.01155176229927287,0.012567865889072792
2025-04-02,-0.00018423452000673507,-0.012299933956125761,0.01193146491611229
2025-04-03,-0.000740745419968238,-0.01285812808532384,0.011376637245387363
2025-04-04,-0.0009271755222578447,-0.013044565332579503,0.011190214288063813
2025-04-07,-0.0008017226416498534,-0.012919114661610599,0.01131566937831089
2025-04-08,-0.0001248079198977192,-0.012242198942958846,0.011992583103163406
2025-04-09,-0.00029419752168578783,-0.01241157060038782,0.011823175557016244
2025-04-10,-0.0007598521215887276,-0.012877224658641575,0.01135752041546412
2025-04-11,-0.0009304954211441987,-0.01304788741097239,0.01118689656868399
2025-04-14,-0.0008022994931040988,-0.0129196915275748,0.011315092541366603
2025-04-15,-0.00012490815114320469,-0.012242299210923766,0.011992482908637355
2025-04-16,-0.0002942149374390076,-0.012411588019504486,0.01182315814462647
2025-04-17,-0.0007598551476756403,-0.01287722768708488,0.011357517391733598
2025-04-18,-0.0009304959469441389,-0.013047887949098166,0.011186896055209887
2025-04-21,-0.0008022995844648512,-0.012919691631160638,0.011315092462230936
2025-04-22,-0.000124908167017659,-0.012242299239034136,0.01199248290499882
2025-04-23,-0.00029421494019728493,-0.012411588034493635,0.011823158154099064
2025-04-24,-0.0007598551481549068,-0.012877227699794864,0.01135751740348505
2025-04-25,-0.0009304959470274142,-0.013047887961413719,0.01118689606735889
