date,sp500_close_log_d1,sp500_close_log_d1_inv
2014-01-03,-0.0003275645604439159,1.8314
2014-01-06,-0.0025148993627878147,1.8268
2014-01-07,0.006057813160584624,1.8379
2014-01-08,-0.0002176633844368503,1.8375
2014-01-09,0.00032647731272694713,1.8381
2014-01-10,0.0023366401067568265,1.8424
2014-01-13,-0.01267222551020386,1.8192
2014-01-14,0.010770722750535922,1.8389
2014-01-15,0.005152833249303823,1.8484
2014-01-16,-0.001353436581556955,1.8459
2014-01-17,-0.003908163254758623,1.8387
2014-01-21,0.0027698592046982995,1.8438
2014-01-22,0.0005964160992256717,1.8449
2014-01-23,-0.008929116874283771,1.8285
2014-01-24,-0.021112755032208552,1.7903
2014-01-27,-0.0048713666140695056,1.7816
2014-01-28,0.0060994565306174975,1.7925
2014-01-29,-0.01026167638728881,1.7742
2014-01-30,0.011209623038696659,1.7942
2014-01-31,-0.006486267428566284,1.7826
2014-02-03,-0.02309650121320095,1.7419
2014-02-04,0.007606339037549814,1.7552
2014-02-05,-0.0020531545937224616,1.7516
2014-02-06,0.012368952018663393,1.7734
2014-02-07,0.013219999837652319,1.797
2014-02-10,0.0015569398162891268,1.7998
2014-02-11,0.011051057322742253,1.8198
2014-02-12,-0.00027479321983259197,1.8193
2014-02-13,0.005754859542677071,1.8298
2014-02-14,0.004797741184219384,1.8386
2014-02-18,0.0011958472915017948,1.8408
2014-02-19,-0.006540245680609846,1.8288
2014-02-20,0.005996856002510653,1.8398
2014-02-21,-0.0019586513334571842,1.8362
2014-02-24,0.006189280846850553,1.8476
2014-02-25,-0.0013540230086136473,1.8451
2014-02-26,5.419613582879901e-05,1.8452
2014-02-27,0.004919593649671983,1.8543
2014-02-28,0.0028003680317872925,1.8595
2014-03-03,-0.007449025051879166,1.8457
2014-03-04,0.015163211268374499,1.8739
2014-03-05,-5.336606453221204e-05,1.8738
2014-03-06,0.001706303069420989,1.877
2014-03-07,0.0005326231816993321,1.878
2014-03-10,-0.00042607584794551734,1.8772
2014-03-11,-0.0051271208234806576,1.8676
2014-03-12,0.0003212163419664682,1.8682
2014-03-13,-0.011791764037050956,1.8463
2014-03-14,-0.0028204173385364406,1.8411
2014-03-17,0.009567899147662207,1.8588
2014-03-18,0.007183091726821078,1.8722
2014-03-19,-0.006107707173244381,1.8608
2014-03-20,0.006000875273137529,1.872
2014-03-21,-0.002942358682898938,1.8665
2014-03-24,-0.00488735901273063,1.8574
2014-03-25,0.004405056814265285,1.8656
2014-03-26,-0.006992659336246043,1.8526
2014-03-27,-0.001945105432802352,1.849
2014-03-28,0.0046403795565022055,1.8576
2014-03-31,0.007882289664480013,1.8723
2014-04-01,0.007025416090304826,1.8855
2014-04-02,0.002859868488762296,1.8909
