Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
02/24/1984,-0.188873378905424,-0.272180387969659,-0.161565020169137,-0.0859452931963776,-0.530738961167278,-0.101170337542543
03/02/1984,-0.182795225827932,-0.267512576776639,-0.145667244549599,-0.123572847370222,-0.514745878433383,-0.0758635718907013
03/09/1984,-0.1623886727637,-0.251853801429572,-0.115125028545068,-0.157394017017725,-0.500706479282017,-0.0506537250707709
03/16/1984,-0.12665320942003,-0.226631988614369,-0.0696632310929056,-0.186163646740017,-0.487982388106039,-0.0255331679219335
03/23/1984,-0.0760345417537152,-0.191342678495656,-0.0100820078400796,-0.208957449360071,-0.4761304296615,-0.000500991738507154
03/30/1984,-0.0102919316590136,-0.140425158500073,0.0635453545574518,-0.225165506400881,-0.464701319688906,0.0244324711040272
04/06/1984,0.0703185246016682,-0.0686619309139274,0.151209699650948,-0.23460367227493,-0.453597088136508,0.0492516823627266
04/13/1984,0.165164001133711,0.0289231522932728,0.252396210987208,-0.237540352704219,-0.442403719439547,0.0739255140366697
04/20/1984,0.275013938789129,0.154589657004621,0.368597217965845,-0.234520569392296,-0.431090134048234,0.09843147675017
04/27/1984,0.3988534438562,0.303938121177434,0.498862988864642,-0.2260449651133,-0.419007462013768,0.122745093585466
05/04/1984,0.531636502766517,0.462745442595418,0.637922514668216,-0.212137659014637,-0.405835076602688,0.146849932401433
05/11/1984,0.667857318999158,0.617557960407016,0.780115606073976,-0.193183790219902,-0.391090498030597,0.17073313813521
05/18/1984,0.799740419574259,0.754882327737351,0.916459700764754,-0.168394414594943,-0.37427486172195,0.194383698425986
05/25/1984,0.92111037961719,0.872752416514686,1.04032133679706,-0.13755022687385,-0.355220930411939,0.217787976188715
06/01/1984,1.02912395458553,0.982259659181847,1.14824449222978,-0.100467200335503,-0.333583520816844,0.240926449476882
06/08/1984,1.12007757415926,1.09139520674602,1.2361379859975,-0.0572402998241558,-0.309082293845436,0.263770674786688
06/15/1984,1.19272992505869,1.20560341510322,1.30280797099383,-0.00840185041308794,-0.281615447293238,0.286279850086118
06/22/1984,1.24254316223426,1.31229030817274,1.34378675741338,0.0452213838619315,-0.251116958732446,0.308398334417495
06/29/1984,1.26368131561234,1.38498420761421,1.35340354000546,0.102575555709528,-0.217803655447961,0.330055661490737
07/06/1984,1.25054162511299,1.39380988266935,1.3266261113778,0.162224431256505,-0.182344801643338,0.351170070909232
07/13/1984,1.20218297174968,1.32474529639052,1.2633907961078,0.222324564577542,-0.145465283855812,0.371642435585886
07/20/1984,1.12507820587892,1.19055525537812,1.17148510280541,0.280693210479251,-0.108060516595628,0.391388013333392
07/27/1984,1.02828682891336,1.01859920834401,1.06099730957747,0.335142913534754,-0.070544688244081,0.410326211895225
08/03/1984,0.92446086735712,0.847890811827817,0.94539776896223,0.383790172612866,-0.0333516693032042,0.428395855038006
08/10/1984,0.824936181910294,0.709008862259587,0.836652339681406,0.424976983911841,0.00369621727182225,0.445558050350987
08/17/1984,0.736334748547846,0.618085174185377,0.740660704263375,0.458491922338298,0.0405596863051763,0.461795604583953
08/24/1984,0.659645269108132,0.568800387979197,0.657860550860315,0.484239998994483,0.0772435492346003,0.477110069999084
