date,forecast,lower_95,upper_95
2025-03-28,-9.324212262573628e-07,-0.010667024847436781,0.010665160004984266
2025-03-31,1.6006224702135095e-05,-0.01065008620150839,0.010682098650912658
2025-04-01,0.0007150653775759165,-0.009951027048634608,0.01138115780378644
2025-04-02,-0.00014683336220836125,-0.010812907899732124,0.010519241175315401
2025-04-03,-0.00014871703964278388,-0.010814791577161954,0.010517357497876387
2025-04-04,0.0001382983118160642,-0.01052872381165715,0.010805320435289279
2025-04-07,2.565884320932783e-05,-0.010641363280263886,0.010692680966682543
2025-04-08,0.0007052130347868033,-0.009961809088686411,0.011372235158260018
2025-04-09,-4.699691908635883e-05,-0.010714001693714652,0.010620007855541933
2025-04-10,-0.00010328083495277161,-0.01077028560957661,0.010563723939671069
2025-04-11,0.00013618735458828635,-0.01053083947430456,0.010803214183481133
2025-04-14,2.551249430805079e-05,-0.010641514334584795,0.010692539323200898
2025-04-15,0.0007053624118227979,-0.009961664417070049,0.011372389240715644
2025-04-16,-4.8510596825453704e-05,-0.010715520068781216,0.010618498875130309
2025-04-17,-0.00010396971938652677,-0.010770979191337834,0.010563039752564781
2025-04-18,0.00013621936002501813,-0.010530807403287934,0.01080324612333797
2025-04-21,2.5514713187921473e-05,-0.010641512050125031,0.010692541476500873
2025-04-22,0.0007053601470316351,-0.009961666616281317,0.011372386910344588
2025-04-23,-4.848764708659901e-05,-0.010715497053585182,0.010618521759411984
2025-04-24,-0.00010395927481338717,-0.010770968681307514,0.010563050131680738
2025-04-25,0.00013621887477218263,-0.010530807890976327,0.010803245640520692
