date,eurusd_close_log_d1,eurusd_close_log_d1_inv
2014-01-02,-0.005980617344689909,1.367
2014-01-03,-0.0060901974936716785,1.3587
2014-01-06,0.002939665525497237,1.3627
2014-01-07,-0.0008809926419608982,1.3615
2014-01-08,-0.0030159278441562742,1.3574
2014-01-09,0.002354673641302485,1.3606
2014-01-10,0.004473296059794352,1.3667
2014-01-13,0.0002926329671917305,1.3671
2014-01-14,0.0005850091574520211,1.3679
2014-01-15,-0.005571453456014175,1.3603
2014-01-16,0.0011755199355273915,1.3619
2014-01-17,-0.005891467073846468,1.3539
2014-01-20,0.0008121378127359802,1.355
2014-01-21,0.0006639861544622816,1.3559
2014-01-22,-0.0009592326874602319,1.3546
2014-01-23,0.010866479906159188,1.3694
2014-01-24,-0.0013884323908263108,1.3675
2014-01-27,-0.00036569757218662957,1.367
2014-01-28,-0.00014631648281276943,1.3668
2014-01-29,-0.00043907794338782224,1.3662
2014-01-30,-0.007862773359028796,1.3555
2014-01-31,-0.00517752635893548,1.3485
2014-02-03,0.002887928253946237,1.3524
2014-02-04,-0.0004437541674772727,1.3518
2014-02-05,0.001035120240299725,1.3532
2014-02-06,0.004129799379875454,1.3588
2014-02-07,0.0033062739056551327,1.3633
2014-02-10,0.0008065403524067372,1.3644
2014-02-11,-0.0005865102807427469,1.3636
2014-02-12,-0.0032319699060257556,1.3592
2014-02-13,0.006380425737676332,1.3679
2014-02-14,0.0008038291930503316,1.369
2014-02-17,0.0011680538632744542,1.3706
2014-02-18,0.0037140923152265137,1.3757
2014-02-19,-0.001818909883412878,1.3732
2014-02-20,-0.0010200365183160032,1.3718
2014-02-21,0.0013840832659384184,1.3737
2014-02-24,-0.00021841214458340197,1.3734
2014-02-25,0.0008006114187244506,1.3745
2014-02-26,-0.004228644388079794,1.3687
2014-02-27,0.0015331267832331408,1.3708
2014-02-28,0.006833905186047762,1.3802
2014-03-03,-0.004938998999925559,1.3734
2014-03-04,0.0005823264103996806,1.3742
2014-03-05,-0.0007279610134386938,1.3732
2014-03-06,0.00913380760974386,1.3858
2014-03-07,0.0012980459023138047,1.3876
2014-03-10,0.0,1.3876
2014-03-11,-0.0012258880208378953,1.3859
2014-03-12,0.003169803100740942,1.3903
2014-03-13,-0.0025206163646293023,1.3868
2014-03-14,0.003311499678672558,1.3914
2014-03-17,0.00043112740482392775,1.392
2014-03-18,0.0009334722251811978,1.3933
2014-03-19,-0.0072753787504653,1.3832
2014-03-20,-0.003911631209985333,1.3778
2014-03-21,0.0009430883211965502,1.3791
2014-03-24,0.003402225584418661,1.3838
2014-03-25,-0.0009398836682207312,1.3825
2014-03-26,-0.0031877155153906545,1.3781
2014-03-27,-0.0030523279511968093,1.3739
2014-03-28,0.0009457641387370375,1.3752
