date,forecast,lower_95,upper_95
2025-03-28,0.0004226071321155266,-0.005821489580473824,0.0066667038447048785
2025-03-31,-2.6252171445060756e-05,-0.0063306970145111585,0.006278192671621038
2025-04-01,-2.1247686521042314e-05,-0.006325692529587157,0.006283197156545072
2025-04-02,3.1851564855487115e-05,-0.00627259327821062,0.006336296407921595
2025-04-03,-1.22296674919934e-05,-0.00631667451067772,0.006292215175693734
2025-04-04,0.00024092911865207392,-0.0060635208411955995,0.006545379078499748
2025-04-07,-2.6252171445060756e-05,-0.006330697018620523,0.006278192675730402
2025-04-08,-2.1247686521042314e-05,-0.006325692533696522,0.006283197160654437
2025-04-09,3.1851564855487115e-05,-0.006272593282319984,0.006336296412030959
2025-04-10,-1.22296674919934e-05,-0.006316674514787085,0.006292215179803099
2025-04-11,0.00024092911865207392,-0.006063520845304961,0.006545379082609109
2025-04-14,-2.6252171445060756e-05,-0.006330697022729887,0.006278192679839766
2025-04-15,-2.1247686521042314e-05,-0.006325692537805886,0.006283197164763801
2025-04-16,3.1851564855487115e-05,-0.006272593286429348,0.006336296416140323
2025-04-17,-1.22296674919934e-05,-0.006316674518896449,0.006292215183912463
2025-04-18,0.00024092911865207392,-0.006063520849414321,0.00654537908671847
2025-04-21,-2.6252171445060756e-05,-0.006330697026839251,0.00627819268394913
2025-04-22,-2.1247686521042314e-05,-0.0063256925419152505,0.006283197168873165
2025-04-23,3.1851564855487115e-05,-0.006272593290538713,0.006336296420249687
2025-04-24,-1.22296674919934e-05,-0.0063166745230058136,0.006292215188021828
2025-04-25,0.00024092911865207392,-0.0060635208535236825,0.006545379090827831
