date;Valor_Real;Valor_Predicho;Modelo;Tipo_Mercado;Periodo;Version
25/03/2020;1,088;1,088;MLP;EUR;Training;Trial_10
26/03/2020;1,1028;1,1028;MLP;EUR;Training;Trial_10
27/03/2020;1,114;1,114;MLP;EUR;Training;Trial_10
30/03/2020;1,1046;1,1046;MLP;EUR;Training;Trial_10
31/03/2020;1,1029;1,1029;MLP;EUR;Training;Trial_10
1/04/2020;1,0962;1,0962;MLP;EUR;Training;Trial_10
2/04/2020;1,0856;1,0856;MLP;EUR;Training;Trial_10
3/04/2020;1,0808;1,0808;MLP;EUR;Training;Trial_10
6/04/2020;1,0791;1,0791;MLP;EUR;Training;Trial_10
7/04/2020;1,0889;1,0889;MLP;EUR;Training;Trial_10
8/04/2020;1,0856;1,0856;MLP;EUR;Training;Trial_10
9/04/2020;1,0927;1,0927;MLP;EUR;Training;Trial_10
13/04/2020;1,0913;1,0913;MLP;EUR;Training;Trial_10
14/04/2020;1,0979;1,0979;MLP;EUR;Training;Trial_10
15/04/2020;1,0907;1,0907;MLP;EUR;Training;Trial_10
16/04/2020;1,0835;1,0835;MLP;EUR;Training;Trial_10
17/04/2020;1,0876;1,0876;MLP;EUR;Training;Trial_10
20/04/2020;1,0862;1,0862;MLP;EUR;Training;Trial_10
21/04/2020;1,0856;1,0856;MLP;EUR;Training;Trial_10
22/04/2020;1,0822;1,0822;MLP;EUR;Training;Trial_10
23/04/2020;1,0776;1,0776;MLP;EUR;Training;Trial_10
24/04/2020;1,082;1,082;MLP;EUR;Training;Trial_10
27/04/2020;1,0828;1,0828;MLP;EUR;Training;Trial_10
28/04/2020;1,0818;1,0818;MLP;EUR;Training;Trial_10
29/04/2020;1,0873;1,0873;MLP;EUR;Training;Trial_10
30/04/2020;1,0955;1,0955;MLP;EUR;Training;Trial_10
1/05/2020;1,0983;1,0983;MLP;EUR;Training;Trial_10
4/05/2020;1,0906;1,0906;MLP;EUR;Training;Trial_10
5/05/2020;1,0838;1,0838;MLP;EUR;Training;Trial_10
6/05/2020;1,0794;1,0794;MLP;EUR;Training;Trial_10
7/05/2020;1,0832;1,0832;MLP;EUR;Training;Trial_10
8/05/2020;1,084;1,084;MLP;EUR;Training;Trial_10
11/05/2020;1,0806;1,0806;MLP;EUR;Training;Trial_10
12/05/2020;1,0846;1,0846;MLP;EUR;Training;Trial_10
13/05/2020;1,0816;1,0816;MLP;EUR;Training;Trial_10
14/05/2020;1,0804;1,0804;MLP;EUR;Training;Trial_10
